ResponseID,SiteCountry,City,Sample,DataCollection,Gender,Age,Origin,Degree,Major,Attention,Tightness_Q1,Tightness_Q2,Tightness_Q3,Tightness_Q4,Tightness_Q5,Tightness_Q6,Tightness_Q1_adjusted,Tightness_Q2_adjusted,Tightness_Q3_adjusted,Tightness_Q4_adjusted,Tightness_Q5_adjusted,Tightness_Q6_adjusted
13421,Algeria,Oran,Student,1,2,21,1,4,1,4,5,6,5,4,3,5,3,4,3,6,1,3
13422,Algeria,Oran,Student,1,1,21,2,6,1,4,6,6,6,2,5,5,4.36,4.36,4.36,3.64,3.36,3.36
13423,Algeria,Oran,Student,1,2,21,1,6,1,4,5,4,6,1,6,4,3.3,2.3,4.3,2.7,4.3,2.3
13424,Algeria,Oran,Student,1,2,21,1,1,3,4,5,5,5,5,4,5,3.2,3.2,3.2,6.8,2.2,3.2
13425,Algeria,Oran,Student,1,2,21,1,4,1,4,4,2,4,4,4,5,2.86,.86,2.86,5.14,2.86,3.86
13426,Algeria,Oran,Student,1,2,21,1,4,3,4,3,4,5,5,6,5,1.92,2.92,3.92,6.08,4.92,3.92
13427,Algeria,Oran,Student,1,2,21,1,2,1,4,5,4,4,3,6,4,3.74,2.74,2.74,4.26,4.74,2.74
13428,Algeria,Oran,Student,1,2,21,1,3,1, ,1,2,6,6,6,4,-.24,.76,4.76,7.24,4.76,2.76
15100,Algeria,Oran,Student,1,1,22,1,4,1,4,4,3,4,5,3,3,1.86,.86,1.86,7.14,.86,.86
15101,Algeria,Oran,Student,1,2,22,1,4,1,4,4,5,6,2,6,4,2.08,3.08,4.08,3.92,4.08,2.08
15102,Algeria,Oran,Student,1,2,22,1,2,1,4,4,4,5,2,5,4,1.46,1.46,2.46,4.54,2.46,1.46
15103,Algeria,Oran,Student,1,2,22,1,6,1,4,4,5,6,4,4,5,2.38,3.38,4.38,5.62,2.38,3.38
15104,Algeria,Oran,Student,1,2,22,1,3,1,4,5,4,6,2,4,5,3.26,2.26,4.26,3.74,2.26,3.26
15105,Algeria,Oran,Student,1,2,22,1,2,1,4,4,5,5,3,6,5,2.28,3.28,3.28,4.72,4.28,3.28
15106,Algeria,Oran,Student,1,2,22,1,2,3,4,4,6,4,3,5,3,2.54,4.54,2.54,4.46,3.54,1.54
15107,Algeria,Oran,Student,1,2,22,1,3,1, ,5,5,6,2,5,5,3.46,3.46,4.46,3.54,3.46,3.46
16328,Algeria,Oran,Student,1,2,23,2,5,3,4,5,5,5,4,4,5,3.02,3.02,3.02,5.98,2.02,3.02
16329,Algeria,Oran,Student,1,2,23,1,1,3,4,5,5,4,3,6,4,3.4,3.4,2.4,4.6,4.4,2.4
16330,Algeria,Oran,Student,1,2,23,1,1,3,4,5,5,5,4,5,6,2.84,2.84,2.84,6.16,2.84,3.84
16331,Algeria,Oran,Student,1,2,23,1,2,3,4,6,4,4,2,6,5,3.92,1.92,1.92,4.08,3.92,2.92
16332,Algeria,Oran,Student,1,2,23,1,1,1,4,6,5,5,2,4,4,4.34,3.34,3.34,3.66,2.34,2.34
17184,Algeria,Oran,Student,1,2,24,1,5,1,4,6,6,4,3,4,5,4.44898812802358,4.44898812802358,2.44898812802358,4.55101187197642,2.44898812802358,3.44898812802358
17185,Algeria,Oran,Student,1,2,24,2,1,1,4,4,6,6,5,5,4,1.4,3.4,3.4,7.6,2.4,1.4
17186,Algeria,Oran,Student,1,2,24,1,5,1,4,6,6,6,1,4,4,4.86,4.86,4.86,2.14,2.86,2.86
17187,Algeria,Oran,Student,1,2,24,1,3,1,4,5,5,6,5,2,2,3.08,3.08,4.08,6.92,.0800000000000001,.0800000000000001
17188,Algeria,Oran,Student,1,2,24,1,3,3,4,3,5,4,4,4,5,1,3,2,6,2,3
17189,Algeria,Oran,Student,1,2,24,1,3,1,4,3,3,2,3,4,3,.180266780416354,.180266780416354,-.819733219583646,5.81973321958365,1.18026678041635,.180266780416354
17190,Algeria,Oran,Student,1,2,24,1,1,1,4,5,4,5,4,6,5,3.62,2.62,3.62,5.38,4.62,3.62
17191,Algeria,Oran,Student,1,2,24,1,5,1,4,5,3,6,2,6,5,3.92,1.92,4.92,3.08,4.92,3.92
17814,Algeria,Oran,Student,1,2,25,1,1,1,4,2,5,5,6,3,6,-.04,2.96,2.96,8.04,.96,3.96
17815,Algeria,Oran,Student,1,1,25,1,5,1,4,4,4,4,3,4,4,1.86,1.86,1.86,5.14,1.86,1.86
17816,Algeria,Oran,Student,1,1,25,1,5,1,4,6,3,5,2,6,2,3.96,.96,2.96,4.04,3.96,-.04
17817,Algeria,Oran,Student,1,2,25,1,1,1, ,5,4,5,3,3,5,3.74,2.74,3.74,4.26,1.74,3.74
17818,Algeria,Oran,Student,1,1,25,1,3,1,4,3,4,4,3,6,5,1.14,2.14,2.14,4.86,4.14,3.14
17819,Algeria,Oran,Student,1,1,25,1,3,1,4,6,6,5,2,4,4,3.74,3.74,2.74,4.26,1.74,1.74
18298,Algeria,Oran,Student,1,2,26,1,3,1,4,5,4,4,3,3,4,3.16,2.16,2.16,4.84,1.16,2.16
19031,Algeria,Oran,Student,1,1,28,1,4,1,4,5,4,4,3,5,4,3.2,2.2,2.2,4.8,3.2,2.2
19032,Algeria,Oran,Student,1,2,28,1,4,3,4,4,4,4,4,5,5,2.45419193448711,2.45419193448711,2.45419193448711,5.54580806551289,3.45419193448711,3.45419193448711
19610,Algeria,Oran,Student,1,1,30,1, ,1,4,5,3,5,3,4,4,4.3,2.3,4.3,3.7,3.3,3.3
20314,Algeria,Oran,Student,1,2,33,1,5,1, ,4,4,5,2,4,2,2.62,2.62,3.62,3.38,2.62,.62
20716,Algeria,Oran,Student,1,2,35,1,5,1,4,5,4,5,2,5,5,3.06,2.06,3.06,3.94,3.06,3.06
20717,Algeria,Oran,Student,1,1,35,1,5,1,4,4,2,6,1,6,5,2.26,.26,4.26,2.74,4.26,3.26
20887,Algeria,Oran,Student,1,2,36,1,1,1,4,5,5,2,5,2,4,3.86,3.86,.86,6.14,.86,2.86
21186,Algeria,Oran,Student,1,2,38,1,5,1,4,5,5,4,5,4,5,3.1,3.1,2.1,6.9,2.1,3.1
22158,Algeria,Oran,Student,1,1,48,1,3,1,4,6,6,5,4,4,5,4.38,4.38,3.38,5.62,2.38,3.38
 3739,Argentina,Cordoba,Non-Student,2, , , , , ,4,5,4,2,3,4,2,2.9,1.9,-.1,5.1,1.9,-.1
 3740,Argentina,Cordoba,Non-Student,2,1, ,1,3, ,4,5,5,6,4,6,6,2.62,2.62,3.62,6.38,3.62,3.62
 3741,Argentina,Cordoba,Non-Student,2, , , , , ,4,6,4,6,1,1,1,3.29045473610157,1.29045473610157,3.29045473610157,3.70954526389843,-1.70954526389843,-1.70954526389843
 3742,Argentina,Cordoba,Non-Student,2,1, ,1,3, ,4,6,2,5,2,6,2,3.8,-.2,2.8,4.2,3.8,-.2
 3743,Argentina,Cordoba,Non-Student,2,1, ,1,3, ,4,4,1,4,2,4,4,1.87136233923612,-1.12863766076388,1.87136233923612,4.12863766076388,1.87136233923612,1.87136233923612
 3744,Argentina,Cordoba,Non-Student,2,3, ,1,3, ,4,4,5,5,5,5,3,1.62,2.62,2.62,7.38,2.62,.62
 3745,Argentina,Cordoba,Non-Student,2,1, ,1,4, ,4,5,5,5,3,5,2,3.46,3.46,3.46,4.54,3.46,.46
 3746,Argentina,Cordoba,Non-Student,2,2, ,1,4, ,4,4,4,5,4,4,2,1.28,1.28,2.28,6.72,1.28,-.72
 3747,Argentina,Cordoba,Non-Student,2,2, ,1,4, ,4,5,5,4,5,5,2,2.96,2.96,1.96,7.04,2.96,-.04
 3748,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3749,Argentina,Cordoba,Non-Student,2, , , , , , ,4.90124238607274,4.73140090448823,4.4723464506503,2.70025749813435,4.43677995612846,3.85588834438013,2.48735723303179,2.31751575144727,2.05846129760934,5.11414265117531,2.02289480308751,1.44200319133918
 3750,Argentina,Cordoba,Non-Student,2, , , , , , ,5.39572121616433,5.02257417319,4.77721923138316,2.80561342632265,4.73532099265469,3.97595381499054,3.32960117014051,2.95645412716619,2.71109918535934,4.87173347234646,2.66920094663087,1.90983376896672
 3751,Argentina,Cordoba,Non-Student,2, , , , , , ,4,4,2,3,4,4,1.55946077700414,1.55946077700414,-.440539222995858,5.44053922299586,1.55946077700414,1.55946077700414
 3752,Argentina,Cordoba,Non-Student,2, , , , , , ,3,5,4,2,6,3,.998550875116033,2.99855087511603,1.99855087511603,4.00144912488397,3.99855087511603,.998550875116033
 3753,Argentina,Cordoba,Non-Student,2, , , , , , ,4.99399374437346,4.65330204197113,4.32243175258009,3.01314921602236,4.41944860821255,3.72056460181691,2.65789129549877,2.31719959309645,1.98632930370541,5.34925166489704,2.08334615933787,1.38446215294222
 3754,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3755,Argentina,Cordoba,Non-Student,2, , , , , , ,2,3,3,5,2,4,-.337468037258316,.662531962741684,.662531962741684,7.33746803725832,-.337468037258316,1.66253196274168
 3756,Argentina,Cordoba,Non-Student,2, , , , , , ,6,6,6,1,6,6,3.17404446065902,3.17404446065902,3.17404446065902,3.82595553934098,3.17404446065902,3.17404446065902
 3757,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97770210487612,4.63236546295822,4.29663865948853,3.18681394928642,4.55869943423312,3.78721090546995,2.56094394902122,2.21560730710333,1.87988050363364,5.60357210514131,2.14194127837822,1.37045274961506
 3758,Argentina,Cordoba,Non-Student,2, , , , , , ,4,3,5,3,1,1,2.18954583667889,1.18954583667889,3.18954583667889,4.81045416332111,-.810454163321108,-.810454163321108
 3759,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3760,Argentina,Cordoba,Non-Student,2, , , , , , ,5,5,5,3,6,4,2.67566520847652,2.67566520847652,2.67566520847652,5.32433479152348,3.67566520847652,1.67566520847652
 3761,Argentina,Cordoba,Non-Student,2, , , , , , ,4.80988691193269,4.4581554600008,3.9941470924,3.15829601295141,4.39782541203157,3.44865698883253,2.56281052867562,2.21107907674373,1.74707070914293,5.40537239620848,2.1507490287745,1.20158060557545
 3762,Argentina,Cordoba,Non-Student,2, , , , , , ,6,5,5,2,5,1,4.11918387925367,3.11918387925367,3.11918387925367,3.88081612074633,3.11918387925367,-.880816120746326
 3763,Argentina,Cordoba,Non-Student,2, , , , , , ,5,5,2,5,1,1,3.00020324081222,3.00020324081222,.000203240812223005,6.99979675918778,-.999796759187777,-.999796759187777
 3764,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3765,Argentina,Cordoba,Non-Student,2, , , , , , ,6,6,5,1,4,4,3.98128861975212,3.98128861975212,2.98128861975212,3.01871138024788,1.98128861975212,1.98128861975212
 3766,Argentina,Cordoba,Non-Student,2, , , , , , ,4,4,3,3,3,3,1.8956823595402,1.8956823595402,.895682359540197,5.1043176404598,.895682359540197,.895682359540197
 3767,Argentina,Cordoba,Non-Student,2, , , , , , ,5.1020352482156,4.76962776035479,4.28132361382806,3.14400274279314,4.45703833497092,3.37606780240904,3.00795743618466,2.67554994832385,2.18724580179712,5.23808055482407,2.36296052293998,1.2819899903781
 3768,Argentina,Cordoba,Non-Student,2, , , , , , ,6,4,3,3,5,3,3.86450585409367,1.86450585409367,.864505854093672,5.13549414590633,2.86450585409367,.864505854093672
 3769,Argentina,Cordoba,Non-Student,2, , , , , , ,2,2,1,3,5,1,-.0325834015438202,-.0325834015438202,-1.03258340154382,5.03258340154382,2.96741659845618,-1.03258340154382
 3770,Argentina,Cordoba,Non-Student,2, , , , , , ,4,3,2,5,4,2,2.0600897592692,1.0600897592692,.0600897592691994,6.9399102407308,2.0600897592692,.0600897592691994
 3771,Argentina,Cordoba,Non-Student,2, , , , , , ,4,2,2,4,4,4,2.18892975931784,.188929759317844,.188929759317844,5.81107024068216,2.18892975931784,2.18892975931784
 3772,Argentina,Cordoba,Non-Student,2, , , , , , ,6,6,5,2,4,3,3.59185584890476,3.59185584890476,2.59185584890476,4.40814415109524,1.59185584890476,.591855848904757
 3773,Argentina,Cordoba,Non-Student,2, , , , , , ,6,5,5,2,5,5,4.01653818485057,3.01653818485057,3.01653818485057,3.98346181514943,3.01653818485057,3.01653818485057
 3774,Argentina,Cordoba,Non-Student,2, , , , , , ,4.86612501103744,4.61890520698276,4.01011515167011,3.6774277417057,4.38219434961451,3.48038071076436,2.3626391345152,2.11541933046053,1.50662927514787,6.18091361822793,1.87870847309228,.976894834242123
 3775,Argentina,Cordoba,Non-Student,2, , , , , , ,4,4,5,1,5,5,2.41242913297496,2.41242913297496,3.41242913297496,2.58757086702504,3.41242913297496,3.41242913297496
 3776,Argentina,Cordoba,Non-Student,2, , , , , , ,4.66469740647791,4.42966159628728,4.20705282263981,2.92741554050327,4.22196179939261,3.59727449812407,2.32243499239325,2.08739918220262,1.86479040855515,5.26967795458793,1.87969938530795,1.25501208403941
 3777,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3778,Argentina,Cordoba,Non-Student,2, , , , , , ,5.28663715353475,4.89990569803752,4.80944260988127,2.73734526466098,4.78728714571294,4.22016885466381,3.15319616579398,2.76646471029676,2.6760016221405,4.87078625240174,2.65384615797217,2.08672786692304
 3779,Argentina,Cordoba,Non-Student,2, , , , , , ,4.91877626165944,4.61089970656126,4.43919433273047,2.54580699224273,4.4616364496139,3.90269969875318,2.68832560965738,2.3804490545592,2.20874368072841,4.77625764424479,2.23118579761184,1.67224904675112
 3780,Argentina,Cordoba,Non-Student,2, , , , , , ,4.75861324709117,4.39003570745435,4.05479957040857,3.05849456226103,4.34290601768034,3.663141237453,2.43713256010813,2.0685550204713,1.73331888342552,5.37997524924407,2.02142533069729,1.34166055046995
 3781,Argentina,Cordoba,Non-Student,2, , , , , , ,5,5,3,3,2,2,3.3346337786886,3.3346337786886,1.3346337786886,4.6653662213114,.334633778688601,.334633778688601
 3782,Argentina,Cordoba,Non-Student,2, , , , , , ,5.07020085211883,4.62499479689633,4.45710343095256,2.7623774452372,4.60921358592763,3.93329224824189,2.86306609569189,2.41786004046939,2.24996867452562,4.96951220166413,2.4020788295007,1.72615749181495
 3783,Argentina,Cordoba,Non-Student,2, , , , , , ,5,2,2,5,1,1,2.94364507710144,-.0563549228985551,-.0563549228985551,7.05635492289855,-1.05635492289856,-1.05635492289856
 3784,Argentina,Cordoba,Non-Student,2, , , , , , ,3,3,2,3,3,1,.820278527552115,.820278527552115,-.179721472447886,5.17972147244789,.820278527552115,-1.17972147244789
 3785,Argentina,Cordoba,Non-Student,2, , , , , , ,3,4,4,4,4,3,1.07056845078638,2.07056845078638,2.07056845078638,5.92943154921362,2.07056845078638,1.07056845078638
 3786,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3787,Argentina,Cordoba,Non-Student,2, , , , , , ,5.01007432818782,4.61974448272453,4.24020423822119,3.08614139394595,4.47792585451363,3.59535670329793,2.7623487468309,2.37201890136762,1.99247865686428,5.33386697530286,2.23020027315671,1.34763112194101
 3788,Argentina,Cordoba,Non-Student,2, , , , , , ,3,4,1,4,3,2,.86,1.86,-1.14,6.14,.86,-.14
 3789,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3790,Argentina,Cordoba,Non-Student,2, , , , , , ,5.04027216589226,4.54530814728715,4.46363958798761,2.8030561784903,4.49781526590075,3.65566112757963,2.85785541789475,2.36289139928965,2.2812228399901,4.98547292648781,2.31539851790325,1.47324437958212
 3791,Argentina,Cordoba,Non-Student,2, , , , , , ,5,4,2,3,5,1,3.05196760897068,2.05196760897068,.051967608970684,4.94803239102932,3.05196760897068,-.948032391029316
 3792,Argentina,Cordoba,Non-Student,2, , , , , , ,4,2,3,1,1,2,2.34169256298819,.341692562988192,1.34169256298819,2.65830743701181,-.658307437011808,.341692562988192
 3793,Argentina,Cordoba,Non-Student,2, , , , , , ,3,4,2,2,1,1,.606901691531469,1.60690169153147,-.393098308468531,4.39309830846853,-1.39309830846853,-1.39309830846853
 3794,Argentina,Cordoba,Non-Student,2, , , , , , ,3,4,4,3,3,3,.611712727301044,1.61171272730104,1.61171272730104,5.38828727269896,.611712727301044,.611712727301044
 3795,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3796,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3797,Argentina,Cordoba,Non-Student,2, , , , , , ,5,2,2,5,2,1,2.86109411665621,-.138905883343792,-.138905883343792,7.13890588334379,-.138905883343792,-1.13890588334379
 3798,Argentina,Cordoba,Non-Student,2, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3799,Argentina,Cordoba,Non-Student,2, , , , , , ,5,4,3,1,2,3,2.89557070265721,1.89557070265721,.895570702657214,3.10442929734279,-.104429297342786,.895570702657214
 3800,Argentina,Cordoba,Non-Student,2, , , , , , ,4,5,3,4,5,3,1.90201432305699,2.90201432305699,.902014323056987,6.09798567694301,2.90201432305699,.902014323056987
 3801,Argentina,Cordoba,Non-Student,2, , , , , , ,5.07489460809465,4.74447770975245,4.40925802431719,2.83292399493771,4.45889690063391,3.66872933154576,2.90812529629023,2.57770839794803,2.24248871251278,4.99969330674212,2.2921275888295,1.50196001974135
 3802,Argentina,Cordoba,Non-Student,2, , , , , , ,2,4,6,5,6,1,-.301933119938581,1.69806688006142,3.69806688006142,7.30193311993858,3.69806688006142,-1.30193311993858
 3803,Argentina,Cordoba,Non-Student,2, , , , , , ,5,5,5,2,5,3,2.42,2.42,2.42,4.58,2.42,.42
 3804,Argentina,Cordoba,Non-Student,2, , , , , , ,5,4,2,5,2,1,2.5309308010379,1.5309308010379,-.4690691989621,7.4690691989621,-.4690691989621,-1.4690691989621
 3805,Argentina,Cordoba,Non-Student,2, , , , , , ,6,6,6,1,6,4,4.01331481481688,4.01331481481688,4.01331481481688,2.98668518518312,4.01331481481688,2.01331481481688
 3806,Argentina,Cordoba,Non-Student,2, , , , , , ,4.70032005718041,4.50059160598601,4.09609913198163,3.89315961066841,4.30925333484761,3.74124982948509,2.19812606980234,1.99839761860794,1.59390514460356,6.39535359804648,1.80705934746954,1.23905584210702
 3807,Argentina,Cordoba,Non-Student,2, , , , , , ,2,3,4,1,4,2,-.107032698347453,.892967301652547,1.89296730165255,3.10703269834745,1.89296730165255,-.107032698347453
 3808,Argentina,Cordoba,Non-Student,2, , , , , , ,4,5,5,3,4,4,1.51740461684886,2.51740461684886,2.51740461684886,5.48259538315114,1.51740461684886,1.51740461684886
 3809,Argentina,Cordoba,Non-Student,2, , , , , , ,2,3,3,2,4,5,-.0880402349647009,.911959765035299,.911959765035299,4.0880402349647,1.9119597650353,2.9119597650353
 3810,Argentina,Cordoba,Non-Student,2, , , , , , ,4,5,5,3,5,3,1.70524615911855,2.70524615911855,2.70524615911855,5.29475384088145,2.70524615911855,.705246159118552
 3811,Argentina,Cordoba,Non-Student,2, , , , , , ,6,5,6,1,3,6,3.86093601151033,2.86093601151033,3.86093601151033,3.13906398848967,.860936011510328,3.86093601151033
 3812,Argentina,Cordoba,Non-Student,2, , , , , , ,4,3,2,4,4,2,1.81494847385567,.814948473855669,-.185051526144331,6.18505152614433,1.81494847385567,-.185051526144331
 3813,Argentina,Cordoba,Non-Student,2, , , , , , ,5.12525043676467,4.7891088712634,4.49413548062355,3.14199826157443,4.49018728723252,3.6969557530319,2.84863159393872,2.51249002843745,2.2175166377976,5.41861710440038,2.21356844440657,1.42033691020595
 3814,Argentina,Cordoba,Non-Student,2, , , , , , ,1,2,3,2,6,2,-1.31897584542012,-.318975845420121,.681024154579879,4.31897584542012,3.68102415457988,-.318975845420121
 3815,Argentina,Cordoba,Non-Student,2, , , , , , ,6,5,5,3,5,5,3.64604677305828,2.64604677305828,2.64604677305828,5.35395322694172,2.64604677305828,2.64604677305828
