Country,City1,City2
 Kenya,Nairobi,Mombasa
 Kiribati,Betio,Bairiki
" Korea, North",Pyongyang,Hamhung
" Korea, South",Seoul,Busan
 Kosovo,Pristina,Prizren
 Kuwait,Kuwait City,Al Jahra
 Kyrgyzstan,Bishkek,Osh
 Laos,Vientiane,Pakxe
 Latvia,Riga,Daugavpils
 Lebanon,Beirut,Tripoli
 Lesotho,Maseru,Teyateyaneng
 Liberia,Monrovia,Ganta
 Libya,Tripoli,Benghazi
 Liechtenstein,Schaan,Vaduz
 Lithuania,Vilnius,Kaunas
 Luxembourg,Luxembourg City,Esch-sur-Alzette
 Madagascar,Antananarivo,Toamasina
 Malawi,Lilongwe,Blantyre
 Malaysia,Kuala Lumpur,George Town
 Maldives,Male,Addu City
 Mali,Bamako,Sikasso
 Malta,Valletta,
 Marshall Islands,Ebeye,Rita
 Mauritania,Nouakchott,Nouadhibou
 Mauritius,Port Louis,Beau Bassin-Rose Hill
 Mayotte (France),Mamoudzou,Koungou
 Mexico,Mexico City,Ecatepec
 Federated States of Micronesia,Weno,Palikir
 Moldova,Chi?in?u,Tiraspol
 Monaco,Monaco,La Condamine
 Mongolia,Ulaanbaatar,Erdenet
 Montenegro,Podgorica,Niksic
 Montserrat (UK),Brades,Saint Peter's
 Morocco,Casablanca,Fez
 Mozambique,Maputo,Matola
 Myanmar,Yangon,Mandalay
 Namibia,Windhoek,Rundu
 Nauru,Yaren[Note 2],Denigomudu
   Nepal,Kathmandu,Pokhara
 Netherlands,Amsterdam,Rotterdam
 New Caledonia (France),Noumea,Dumbea
 New Zealand,Auckland,Christchurch
,,Wellington
 Nicaragua,Managua,Leon
 Niger,Niamey,Zinder
 Nigeria,Lagos,Kano
 Niue (New Zealand),Alofi,Hakupu
 Norfolk Island (Australia),Burnt Pine,Kingston
 North Macedonia,Skopje,Bitola
 Northern Cyprus,North Nicosia,Famagusta
 Northern Mariana Islands (US),San Antonio,Garapan
 Norway,Oslo,Bergen
 Oman,Muscat,Seeb
 Pakistan,Karachi,Lahore
 Palau,Koror,Airai
 State of Palestine,Gaza City,Hebron
,,East Jerusalem
 Panama,Panama City,Colon
 Papua New Guinea,Port Moresby,Lae
 Paraguay,Asuncion,Ciudad del Este
 Peru,Lima,Arequipa
 Philippines[Note 4],Quezon City,Manila
,Metro Manila,Metro Cebu
 Pitcairn Islands (UK),Adamstown,
 Poland,Warsaw,Krakow
,,
 Portugal,Lisbon,Vila Nova de Gaia
,,Porto
 Puerto Rico (US),San Juan,Bayamon
,,Ponce
 Qatar,Doha,Al Rayyan
 Romania,Bucharest,Ia?i
,,Constan?a
 Russia,Moscow,Saint Petersburg
 Rwanda,Kigali,Butare
 Saint Barthelemy (France),Gustavia,St. Jean
 Saint Helena (UK),Half Tree Hollow,Jamestown
 Saint Kitts and Nevis,Basseterre,Charlestown
 Saint Lucia,Castries,Gros Islet
 Saint Martin (France),Marigot,Rambaud
 Saint Pierre and Miquelon (France),Saint-Pierre,Miquelon
 Saint Vincent and the Grenadines,Kingstown,Georgetown
 Samoa,Apia,Vaitele
 San Marino,Dogana,Borgo Maggiore
 São Tome and Principe,São Tome,Trindade
 Saudi Arabia,Riyadh,Jeddah
 Senegal,Dakar,Touba
 Serbia,Belgrade,Novi Sad
 Seychelles,Victoria,Anse Boileau
 Sierra Leone,Freetown,Bo
 Singapore,Singapore,
 Sint Maarten (Netherlands),Lower Prince's Quarter,Cul De Sac
 Slovakia,Bratislava,Kosice
 Slovenia,Ljubljana,Maribor
 Solomon Islands,Honiara,Gizo
 Somalia,Mogadishu,Hargeisa
 Somaliland,Hargeisa,Burao
 South Africa,Cape Town[Note 5],Durban
,Johannesburg,Cape Town
 South Georgia and the South Sandwich Islands (UK),King Edward Point,Bird Island
 South Ossetia,Tskhinvali,Akhalgori
 South Sudan,Juba,Yei
 Spain,Madrid,Barcelona
 Sri Lanka,Colombo,Dehiwala-Mount Lavinia
 Sudan,Omdurman,Khartoum
,Khartoum,Port Sudan
 Suriname,Paramaribo,Lelydorp
 Svalbard and Jan Mayen (Norway),Longyearbyen,Barentsburg
 Sweden,Stockholm,Gothenburg
  Switzerland,Zürich,Geneva
 Syria,Damascus,Aleppo
,,
 Taiwan,New Taipei,Taichung
,Greater Taipei,Greater Kaohsiung
 Tajikistan,Dushanbe,Khujand
 Tanzania,Dar es Salaam,Mwanza
 Thailand,Bangkok,Nonthaburi
,,Pak Kret
 Togo,Lome,Sokode
 Tokelau (New Zealand),Fakaofo,Atafu
 Tonga,Nuku?alofa,Neiafu
 Transnistria (Moldova),Tiraspol,Bender
 Trinidad and Tobago,Chaguanas,San Fernando
 Tunisia,Tunis,Sfax
 Turkey,Istanbul,Ankara
 Turkmenistan,Ashgabat,Türkmenabat
 Turks and Caicos Islands (UK),Five Cays,Honda Road
 Tuvalu,Funafuti[Note 6],Asau
 Uganda,Kampala,Gulu
 Ukraine,Kiev,Kharkiv
,,Donetsk
 United Arab Emirates,Dubai,Abu Dhabi
 United Kingdom,London,Birmingham
 United States of America,New York City,Los Angeles
 Uruguay,Montevideo,Salto
 Uzbekistan,Tashkent,Namangan
 Vanuatu,Port Vila,Luganville
  Vatican City,Vatican City,
 Venezuela,Caracas,Maracaibo
 Vietnam,Ho Chi Minh City,Hanoi
" Virgin Islands, British (UK)",Road Town,Spanish Town
" Virgin Islands, United States (US)",Charlotte Amalie,Anna's Retreat
 Wallis and Futuna (France),Mata-Utu,Utufua
 Western Sahara,Laayoune,Dakhla
 Yemen,Sana'a,Aden
 Zambia,Lusaka,Kitwe
 Zimbabwe,Harare,Bulawayo
