"","Country","City","Move","Location","lon","lat","type","loctype","address","north","south","east","west"
"58","Barbados","Saint Lucy",-63.9393939393939,"Saint Lucy, Barbados",-59.6052862,13.3041806,"administrative_area_level_1","approximate","saint lucy, barbados",13.3351301,13.2740421,-59.5743651,-59.650559
"59","Barbados","Saint Michael",-38.2319230769231,"Saint Michael, Barbados",-59.5988089,13.1132219,"administrative_area_level_1","approximate","saint michael, barbados",13.158466,13.0784939,-59.567387,-59.637194
"60","Barbados","Saint Peter",-37.708722741433,"Saint Peter, Barbados",-59.621862,13.2600459,"administrative_area_level_1","approximate","saint peter, barbados",13.2988305,13.2257179,-59.572906,-59.6469631
"61","Barbados","Saint Philip",-34.6525641025641,"Saint Philip, Barbados",-59.456055,13.1256336,"administrative_area_level_1","approximate","saint philip, barbados",13.1829601,13.078951,-59.4210709,-59.510823
"62","Barbados","Saint Thomas",-40.1032608695652,"Saint Thomas, Barbados",-59.5827556,13.1740547,"administrative_area_level_1","approximate","saint thomas, barbados",13.216692,13.1466249,-59.553194,-59.617723
"63","Belgium","Brussels",-32.4876923076923,"Brussels, Belgium",4.3517103,50.8503396,"locality","approximate","brussels, belgium",50.91371,50.7962401,4.4369799,4.3138
"64","Belgium","Flanders",-23.0384615384615,"Flanders, Belgium",3.7264613,51.0108706,"administrative_area_level_1","approximate","flanders, belgium",51.5051,50.68736,5.9110101,2.5449401
"65","Belgium","Wallonia",-27.3846153846154,"Wallonia, Belgium",4.4510066,50.4175637,"administrative_area_level_1","approximate","wallonia, belgium",50.81192,49.497013,6.40782,2.8421299
"66","Belize","Belize District",-33.085,"Belize District, Belize",-88.4016041,17.5677679,"administrative_area_level_1","approximate","belize district, belize",17.9708951,17.1077301,-87.468124,-88.63997
"67","Belize","Cayo District",-26.4319230769231,"Cayo District, Belize",-88.9413865,17.0984445,"administrative_area_level_1","approximate","cayo district, belize",17.5050549,16.4052541,-88.5508179,-89.189365
"68","Belize","Corozal District",-41.6923076923077,"Corozal District, Belize",-88.2461183,18.1349238,"administrative_area_level_1","approximate","corozal district, belize",18.4959419,17.8931901,-87.849937,-88.606565
"69","Belize","Orange Walk District",-32.5796460176991,"Orange Walk District, Belize",-88.864698,17.760353,"administrative_area_level_1","approximate","orange walk district, belize",18.2550746,17.3420751,-88.284456,-89.146957
"70","Belize","Stann Creek District",-32.8173076923077,"Stann Creek District, Belize",-88.4016041,16.8116631,"administrative_area_level_1","approximate","stann creek district, belize",17.1271911,16.5113349,-87.692459,-88.774852
"71","Benin","Atlantique Department",-3.71282051282051,"Atlantique Department, Benin",2.2236667,6.6588391,"administrative_area_level_1","approximate","atlantique department, benin",7.0136289,6.2882929,2.483183,1.953851
"72","Benin","Borgou Department",-0.523076923076923,"Borgou Department, Benin",2.7779813,9.5340864,"administrative_area_level_1","approximate","borgou department, benin",10.6659466,8.7712364,3.8433429,1.972203
"73","Benin","Littoral Department",-9.85961538461538,"Littoral Department, Benin",2.4406387,6.3806973,"administrative_area_level_1","approximate","littoral department, benin",6.429865,6.33918,2.5465271,2.327578
"74","Benin","Oueme Department",1.8474358974359,"Oueme Department, Benin",2.4999918,6.6148152,"administrative_area_level_1","approximate","ouémé department, benin",6.99444,6.3519469,2.742933,2.3608521
"75","Benin","Zou Department",-3.73913043478261,"Zou Department, Benin",2.0665197,7.3469268,"administrative_area_level_1","approximate","zou department, benin",7.6493191,6.9083269,2.555015,1.634848
"76","Bolivia","Beni Department",-47.9569230769231,"Beni Department, Bolivia",-65.0957792,-14.3782747,"administrative_area_level_1","approximate","beni department, bolivia",-10.381218,-16.4916511,-61.5279301,-67.5621818
"77","Bolivia","Chuquisaca Department",-55.7969230769231,"Chuquisaca Department, Bolivia",-64.1478236,-20.0249144,"administrative_area_level_1","approximate","chuquisaca department, bolivia",-18.3470087,-21.5173229,-62.1786395,-65.6955637
"78","Bolivia","Cochabamba Department",-53.1076923076923,"Cochabamba Department, Bolivia",-65.475736,-17.5681675,"administrative_area_level_1","approximate","cochabamba department, bolivia",-15.7799173,-18.6818057,-64.2341057,-67.005742
"79","Bolivia","La Paz Department",-51.1369230769231,"La Paz Department, Bolivia",-68.5247149,-15.0892416,"administrative_area_level_1","approximate","la paz department, bolivia",-11.849681,-18.0468557,-66.7321134,-69.645246
"80","Bolivia","Oruro Department",-52.1661538461538,"Oruro Department, Bolivia",-67.7615983,-18.5711579,"administrative_area_level_1","approximate","oruro department, bolivia",-17.3239321,-19.8867099,-66.0861041,-69.1423413
"81","Bolivia","Pando Department",-38.7160256410256,"Pando Department, Bolivia",-66.9988011,-10.7988901,"administrative_area_level_1","approximate","pando department, bolivia",-9.669633,-12.4984398,-65.2868102,-69.5747476
"82","Bolivia","Potosi Department",-52.5984615384615,"Potosi Department, Bolivia",-66.9988011,-20.624713,"administrative_area_level_1","approximate","potosi department, bolivia",-17.807111,-22.9065683,-64.7143873,-68.7738732
"83","Bolivia","Santa Cruz Department",-56.4830769230769,"Santa Cruz Department, Bolivia",-62.0750998,-16.7476037,"administrative_area_level_1","approximate","santa cruz department, bolivia",-13.484678,-20.4732137,-57.4544336,-64.8424129
"84","Bolivia","Tarija Department",-51.6184615384615,"Tarija Department, Bolivia",-63.9586111,-21.5831595,"administrative_area_level_1","approximate","tarija department, bolivia",-20.8858131,-22.8733419,-62.2609148,-65.4199123
"85","Brazil","Federal District",-27.7092307692308,"Federal District, Brazil",-47.8644715,-15.7997654,"administrative_area_level_1","approximate","brasilia - federal district, brazil",-15.5001712,-16.0517624,-47.3081926,-48.2870947
"86","Brazil","State of Acre",-28.2384615384615,"State of Acre, Brazil",-70.8119953,-9.0237964,"administrative_area_level_1","approximate","state of acre, brazil",-7.1131971,-11.1452221,-66.6247951,-73.9828169
"87","Brazil","State of Alagoas",-35.3630769230769,"State of Alagoas, Brazil",-36.7819505,-9.5713058,"administrative_area_level_1","approximate","state of alagoas, brazil",-8.8131294,-10.5037706,-35.1391908,-38.2374754
"88","Brazil","State of Amapa",-34.4107692307692,"State of Amapa, Brazil",-52.0029565,0.9019925,"administrative_area_level_1","approximate","state of amapá, brazil",4.4264624,-1.2361787,-49.8565358,-54.8762441
"89","Brazil","State of Amazonas",-23.6461538461538,"State of Amazonas, Brazil",-65.8560646,-3.4168427,"administrative_area_level_1","approximate","state of amazonas, brazil",2.2324059,-9.8180491,-56.0975519,-73.7977563
"90","Brazil","State of Bahia",-34.4430769230769,"State of Bahia, Brazil",-41.7007272,-12.579738,"administrative_area_level_1","approximate","state of bahia, brazil",-8.5328229,-18.3359755,-37.3480414,-46.6170906
"91","Brazil","State of Ceara",-39.8907692307692,"State of Ceara, Brazil",-39.3206241,-5.4983977,"administrative_area_level_1","approximate","state of ceará, brazil",-2.7842472,-7.8581824,-37.2530223,-41.4235126
"92","Brazil","State of Espirito Santo",-32.1138461538462,"State of Espirito Santo, Brazil",-40.3088626,-19.1834229,"administrative_area_level_1","approximate","state of espírito santo, brazil",-17.891947,-21.3096583,-28.8359374,-41.8797894
"93","Brazil","State of Goias",-19.4646153846154,"State of Goias, Brazil",-49.8362237,-15.8270369,"administrative_area_level_1","approximate","state of goiás, brazil",-12.3952134,-19.4991531,-45.906962,-53.2512032
"94","Brazil","State of Maranhao",-28.1030769230769,"State of Maranhao, Brazil",-45.2744159,-4.9609498,"administrative_area_level_1","approximate","state of maranhão, brazil",-1.046719,-10.2617676,-41.7843211,-48.7551446
"95","Brazil","State of Mato Grosso",-19.0646153846154,"State of Mato Grosso, Brazil",-56.921099,-12.6818712,"administrative_area_level_1","approximate","state of mato grosso, brazil",-7.3490372,-18.0420517,-50.2247999,-61.6331946
"96","Brazil","State of Mato Grosso do Sul",-17.3723076923077,"State of Mato Grosso do Sul, Brazil",-54.7851531,-20.7722295,"administrative_area_level_1","approximate","state of mato grosso do sul, brazil",-17.1666336,-24.0675979,-50.9229023,-58.1670573
"97","Brazil","State of Minas Gerais",-20.64,"State of Minas Gerais, Brazil",-44.5550308,-18.512178,"administrative_area_level_1","approximate","state of minas gerais, brazil",-14.233183,-22.9227576,-39.8568263,-51.0460748
"98","Brazil","State of Para",-26.2492307692308,"State of Para, Brazil",-54.9306152,-1.9981271,"administrative_area_level_1","approximate","state of pará, brazil",2.5902014,-9.8411565,-46.0643195,-58.898277
"99","Brazil","State of Paraiba",-35.7738461538462,"State of Paraiba, Brazil",-36.7819505,-7.2399609,"administrative_area_level_1","approximate","state of paraíba, brazil",-6.0259143,-8.302955,-34.7930204,-38.7656069
"100","Brazil","State of Parana",-23.7584615384615,"State of Parana, Brazil",-52.0215415,-25.2520888,"administrative_area_level_1","approximate","state of paraná, brazil",-22.5166644,-26.7172983,-48.0235303,-54.6192979
"101","Brazil","State of Pernambuco",-32.9815384615385,"State of Pernambuco, Brazil",-36.954107,-8.8137173,"administrative_area_level_1","approximate","state of pernambuco, brazil",-3.8287186,-9.4829006,-32.3909143,-41.3583362
"102","Brazil","State of Piaui",-36.5184615384615,"State of Piaui, Brazil",-42.7289236,-7.7183401,"administrative_area_level_1","approximate","state of piauí, brazil",-2.7430797,-10.9287593,-40.3705066,-45.9942887
"103","Brazil","State of Rio de Janeiro",-34.6261538461538,"State of Rio de Janeiro, Brazil",-43.2094971,-22.9098755,"administrative_area_level_1","approximate","state of rio de janeiro, brazil",-20.7632054,-23.3689318,-40.9568207,-44.8893205
"104","Brazil","State of Rio Grande do Norte",-34.3538461538462,"State of Rio Grande do Norte, Brazil",-36.954107,-5.4025803,"administrative_area_level_1","approximate","state of rio grande do norte, brazil",-3.8299541,-6.9827372,-33.7737869,-38.5821039
"105","Brazil","State of Rio Grande do Sul",-26.6815384615385,"State of Rio Grande do Sul, Brazil",-51.2176986,-30.0346316,"administrative_area_level_1","approximate","state of rio grande do sul, brazil",-27.0805987,-33.7509909,-49.6916345,-57.6480317
"106","Brazil","State of Rondonia",-21.3507692307692,"State of Rondonia, Brazil",-63.580611,-11.5057341,"administrative_area_level_1","approximate","state of rondônia, brazil",-7.9692976,-13.6937,-59.7743471,-66.8102456
"107","Brazil","State of Roraima",-26.0646153846154,"State of Roraima, Brazil",-62.0750998,2.7375971,"administrative_area_level_1","approximate","state of roraima, brazil",5.2694733,-1.5806358,-58.8918487,-64.8242771
"108","Brazil","State of Santa Catarina",-34.8938461538462,"State of Santa Catarina, Brazil",-50.2188556,-27.2423392,"administrative_area_level_1","approximate","state of santa catarina, brazil",-25.9559588,-29.351441,-48.329359,-53.8363587
"109","Brazil","State of Sao Paulo",-29.2676923076923,"State of Sao Paulo, Brazil",-46.6291845,-23.5431786,"administrative_area_level_1","approximate","state of são paulo, brazil",-19.7796583,-25.3126231,-44.1613651,-53.1101046
"110","Brazil","State of Sergipe",-35.8615384615385,"State of Sergipe, Brazil",-37.3856581,-10.5740934,"administrative_area_level_1","approximate","state of sergipe, brazil",-9.5150294,-11.5685288,-36.3998681,-38.2456472
"111","Brazil","State of Tocantins",-21.9446153846154,"State of Tocantins, Brazil",-48.2982474,-10.17528,"administrative_area_level_1","approximate","state of tocantins, brazil",-5.1683828,-13.4677157,-45.6960778,-50.7420581
"112","Bulgaria","Blagoevgrad Province",-19.2907692307692,"Blagoevgrad Province, Bulgaria",23.0943356,42.0208614,"administrative_area_level_1","approximate","blagoevgrad province, bulgaria",42.1844116,41.3170586,24.1157995,22.8638396
"113","Bulgaria","Burgas",-4.91538461538462,"Burgas, Bulgaria",27.4626361,42.5047926,"locality","approximate","burgas, bulgaria",42.6139216,42.4391223,27.5458556,27.3580761
"114","Bulgaria","Dobrich Province",-6.25,"Dobrich Province, Bulgaria",27.8272802,43.572786,"administrative_area_level_1","approximate","dobrich province, bulgaria",44.0084379,43.3164438,28.6080429,27.1997663
"115","Bulgaria","Gabrovo",-14.6128205128205,"Gabrovo, Bulgaria",25.3186837,42.8742212,"locality","approximate","gabrovo, bulgaria",42.9150995,42.7827688,25.3884394,25.262113
"116","Bulgaria","Haskovo Province",-14.1276923076923,"Haskovo Province, Bulgaria",25.5554672,41.9344178,"administrative_area_level_1","approximate","haskovo province, bulgaria",42.2081303,41.3179045,26.5846724,25.2138259
"117","Bulgaria","Jambol",-15.2980769230769,"Jambol, Bulgaria",26.5035023,42.4841999,"locality","approximate","yambol, bulgaria",42.5067417,42.4475374,26.5412634,26.4646359
"118","Bulgaria","Kardzhali Province",-20.2465384615385,"Kardzhali Province, Bulgaria",25.3776687,41.6338416,"administrative_area_level_1","approximate","kardzhali province, bulgaria",41.9019549,41.2355087,25.9566057,24.999145
"119","Bulgaria","Kyustendil Province",-12.565,"Kyustendil Province, Bulgaria",22.6939635,42.2868799,"administrative_area_level_1","approximate","kyustendil province, bulgaria",42.6488893,42.0210164,23.5298876,22.3597717
"120","Bulgaria","Lovec",-12.0916666666667,"Lovec, Bulgaria",24.7141906,43.1369534,"locality","approximate","lovech, bulgaria",43.1819797,43.1069685,24.7467215,24.6753677
"121","Bulgaria","Montana Province",-7.28435897435897,"Montana Province, Bulgaria",23.2257589,43.4085148,"administrative_area_level_1","approximate","montana province, bulgaria",43.8541948,43.1097917,23.6396049,22.7473764
"122","Bulgaria","Pazardzhik",-11.0483333333333,"Pazardzhik, Bulgaria",24.3335662,42.1927654,"locality","approximate","pazardzhik, bulgaria",42.2142634,42.1632603,24.3626333,24.2980485
"123","Bulgaria","Pernik",-14.5564102564103,"Pernik, Bulgaria",23.0378368,42.6051862,"locality","approximate","pernik, bulgaria",42.6243972,42.5681881,23.1273676,22.9755276
"124","Bulgaria","Pleven Province",-13.1673076923077,"Pleven Province, Bulgaria",24.6066708,43.4170169,"administrative_area_level_1","approximate","pleven province, bulgaria",43.7632982,43.201804,25.2928674,23.9515105
"125","Bulgaria","Plovdiv Province",-16.8707692307692,"Plovdiv Province, Bulgaria",24.7454204,42.135281,"administrative_area_level_1","approximate","plovdiv province, bulgaria",42.7935849,41.682939,25.3480643,24.3568825
"126","Bulgaria","Razgrad",-16.925641025641,"Razgrad, Bulgaria",26.5411165,43.5336719,"locality","approximate","razgrad, bulgaria",43.5504861,43.5089142,26.5636871,26.4945974
"127","Bulgaria","Ruse",-14.5733333333333,"Ruse, Bulgaria",25.9656554,43.8355713,"locality","approximate","ruse, bulgaria",43.8890011,43.754233,26.0490987,25.8704854
"128","Bulgaria","Shumen Province",-18.6097435897436,"Shumen Province, Bulgaria",26.9360985,43.271252,"administrative_area_level_1","approximate","shumen province, bulgaria",43.7208101,42.8970339,27.4358064,26.5511807
"129","Bulgaria","Silistra",-12.6012820512821,"Silistra, Bulgaria",27.2671901,44.1147271,"locality","approximate","silistra, bulgaria",44.1248362,44.097587,27.2840753,27.2254378
"130","Bulgaria","Sliven Province",-14.9203846153846,"Sliven Province, Bulgaria",26.3228569,42.6816702,"administrative_area_level_1","approximate","sliven province, bulgaria",43.0385147,42.2448206,26.7150391,25.8076713
"131","Bulgaria","Smoljan",-22.5935897435897,"Smoljan, Bulgaria",24.7011138,41.5774233,"locality","approximate","smolyan, bulgaria",41.5938716,41.5643,24.8138621,24.668448
"132","Bulgaria","Sofia City Province",-26.9,"Sofia City Province, Bulgaria",23.4504683,42.7570109,"administrative_area_level_1","approximate","sofia city province, bulgaria",42.8964344,42.4125751,23.6786801,23.0512522
"133","Bulgaria","Sofia Province",-9.82820512820513,"Sofia Province, Bulgaria",23.8334937,42.67344,"administrative_area_level_1","approximate","sofia province, bulgaria",43.1997253,42.0839656,24.4840577,22.7483453
"134","Bulgaria","Stara Zagora",-8.73038461538462,"Stara Zagora, Bulgaria",25.6344644,42.4257769,"locality","approximate","stara zagora, bulgaria",42.4457088,42.3928015,25.6686784,25.5810451
"135","Bulgaria","Targovishte Province",-13.2012820512821,"Targovishte Province, Bulgaria",26.5691251,43.2462349,"administrative_area_level_1","approximate","targovishte province, bulgaria",43.5551441,42.9515481,26.8024255,25.9437854
"136","Bulgaria","Varna",-17.0061538461538,"Varna, Bulgaria",27.9147333,43.2140504,"locality","approximate","varna, bulgaria",43.3094528,43.1002294,28.0559078,27.8299093
"137","Bulgaria","Veliko Tarnovo Province",-15.5876923076923,"Veliko Tarnovo Province, Bulgaria",25.61715,43.0756539,"administrative_area_level_1","approximate","veliko tarnovo province, bulgaria",43.6552971,42.7772273,26.1739724,25.0745349
"138","Bulgaria","Vidin",-15.5064102564103,"Vidin, Bulgaria",22.8679302,43.996159,"locality","approximate","vidin, bulgaria",44.0154499,43.9437989,22.9156826,22.8390656
"139","Bulgaria","Vraca",-7.77358974358974,"Vraca, Bulgaria",23.5528803,43.2102375,"locality","approximate","vratsa, bulgaria",43.2297109,43.1850586,23.5920197,23.5066083
