"","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Country","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Entity","Entity2","TL","Median_Age","Population.density","GDP.capita","Government.efficiency","CaseLog","Gini","Underreporting","Authoritarian","Continent","Days","X.Intercept.","log_day","Ztests_per_mil","TL_c","TL_l","TL_h","TL_2","Government.efficiency_c","Government.efficiency_l","Government.efficiency_h","Government.efficiency_2","ZGDP.capita","ZGini","ZMedian_Age","ZUnderreporting","Zlog_PopDensity","Authoritarianism","Europe","Africa","Asia","SouthA","NorthA","Mortality.Likelihood","Total_Cases","Total_Deaths","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc","Log_Google_pc"
"43","GA","Gabon","","","2020-04-26",-47,-36,-33,-56,-14,20,-37.2,2020-04-26,"Gabon","",NA,"None","","No",2020-03-13,2020-03-21,238,3,0,0,NA,16,8,NA,NA,NA,NA,NA,33.9672131147541,34.75,33.1034482758621,-1.64655172413793,76.2786885245902,72.1875,80.7931034482759,8.60560344827586,"GAB","GDP per capita, PPP (constant 2011 international $)",15861.58536,"Unemployment, total (% of total labor force) (modeled ILO estimate)",20.00399971,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.9,"Population ages 15-64 (% of total population)",59.41022284,"Population ages 65 and above (% of total population)",3.563907468,9.67165544984012,"Gabon","Hospital beds (per 1,000 people)",NA,2017,50.66,60,"GAB",-0.7061859,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,3,"08/03/2012",NA,NA,NA,NA,NA,NA,NA,"Gabon","Gabon",NA,18.6,8,8112.32,3.389185647,0.44951,38,NA,1,"Africa",22,-1.754966051,1.111924548,NA,NA,NA,NA,NA,-0.244168548,0.551541288,-1.039878384,0.05961828,-0.391111999,0.082803916,-1.120950593,NA,-1.511822351,1,0,1,0,0,0,0.055555556,18,1,2.10540204055566e-06,0.000167028561884082,-13.0710041159287,0,NA
"44","GB","United Kingdom","","","2020-04-26",-78,-37,-10,-64,-48,14,-47.4,2020-04-26,"United Kingdom","",2020-03-23,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7","Yes",2020-01-31,2020-03-06,161145,21678,103,6,61,58,23,8.616616617,6.412121212,NA,7.459937565,5,15.4285714285714,15.5714285714286,15.2709359605911,-0.300492610837438,78.9461358313817,79.7142857142857,78.0985221674877,-1.61576354679802,"GBR","GDP per capita, PPP (constant 2011 international $)",40522.24661,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.851000071,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.7,"Population ages 15-64 (% of total population)",63.92605226,"Population ages 65 and above (% of total population)",18.39586567,10.6096064012975,"United Kingdom","Hospital beds (per 1,000 people)",2.8,NA,NA,NA,"GBR",1.638637,"GBR",0.5350247,0.048684672,-0.038331732,0.024550388,0.028450366,0.23470205,"WESTERN EUROPE                     ",60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758,8,"01/07/2011",35,89,66,35,25,NA,11,"United Kingdom","United Kingdom",-0.243066177,40.5,279,41030.23,4.823960274,1.7259,34.1,5.4,NA,"Europe",65,-12.92152464,2.950681998,3.982635608,-0.502563765,0.665292168,-1.670419699,0.252570338,1.190606079,1.986315915,0.394896243,1.417542835,1.214126451,-0.422401572,0.44460733,-0.997837855,0.762775519,0,1,0,0,0,0,0.103208802,47806,4934,0.000357668750130859,0.00265875683826171,-7.93590327886248,1.69941328828667e-06,-13.2852274910085
"45","GE","Georgia","","","2020-04-26",-78,-59,-33,-70,-51,18,-58.2,2020-04-26,"Georgia","",2020-03-22,"Partial","https://www.garda.com/crisis24/news-alerts/325581/georgia-government-places-two-cities-on-lockdown-march-22-update-6","Yes",2020-02-27,2020-04-06,511,6,0,7,60,31,-8,8.69363167,4.834934498,2.601345669,7.176076555,6,7.78688524590164,3.6875,12.3103448275862,8.62284482758621,75.8360655737705,80.15625,71.0689655172414,-9.08728448275862,"GEO","GDP per capita, PPP (constant 2011 international $)",10651.94209,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.39799976,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,"Population ages 15-64 (% of total population)",65.33926797,"Population ages 65 and above (% of total population)",14.86549143,9.27349751038131,"Georgia","Hospital beds (per 1,000 people)",2.6,2017,62.19,62,"GEO",0.3280484,"GEO",-0.48542792,-0.08132492,0.56275272,-0.25436422,0.62781996,-0.20484574,"C.W. OF IND. STATES ",4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,7,"01/07/2014",NA,NA,NA,NA,NA,NA,NA,"Georgia","Georgia",NA,38.1,57,4289.32,4.052733487,0.75048,36.5,NA,NA,"Europe",35,-2.297474063,1.58163662,NA,NA,NA,NA,NA,0.419379292,1.215089128,-0.376330544,0.175878991,-0.577540195,-0.111505887,0.273039339,NA,-0.278951802,0,1,0,0,0,0,0.011494253,174,2,1.28714678815044e-06,0.000109622001457479,-13.5630825813471,0,NA
"46","GH","Ghana","","","2020-04-26",-47,-36,-34,-48,-10,19,-35,2020-04-26,"Ghana","",2020-03-15,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana","Yes",2020-03-13,2020-03-22,1671,16,0,14,53,16,7,8.456829897,7.347938144,1.835051546,6.617268041,6,34.1803278688525,34.25,34.1034482758621,-0.146551724137929,49,37.21875,62,24.78125,"GHA","GDP per capita, PPP (constant 2011 international $)",4211.845783,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.330999851,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.5,"Population ages 15-64 (% of total population)",59.33504041,"Population ages 65 and above (% of total population)",3.068898007,8.34565625886087,"Ghana","Hospital beds (per 1,000 people)",NA,2017,53.85,63,"GHA",0.0718521,"GHA",0.084618963,0.6184504,-0.22070853,-0.074184068,0.11105221,-0.19801778,"SUB-SAHARAN AFRICA                 ",22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,8,"22/10/2014",77,20,46,54,16,NA,80,"Gha","Ghana",3.491767272,21.1,130,2223.42,3.773055774,0.7799,42.8,56.79,NA,"Africa",22,-4.178458046,1.909413605,NA,3.232269684,4.400125617,2.06441375,10.44756731,0.139701579,0.935411415,-0.656008257,0.019516531,-0.678283593,0.704595286,-0.942233935,0.714540672,0.260161904,0,0,1,0,0,0,0.023364486,214,5,7.13980615069311e-07,7.45663504863011e-05,-14.1524100247383,0,NA
"47","GR","Greece","","","2020-04-26",-73,-3,-10,-61,-40,15,-37.4,2020-04-26,"Greece","",2020-03-18,"Full","https://www.tornosnews.gr/en/greek-news/society/39369-greece-in-total-lockdown-from-wednesday-due-to-coronavirus-outbreak.html","Yes",2020-02-27,2020-03-12,2534,136,5,11,56,31,17,NA,NA,NA,NA,NA,14.4426229508197,12.8125,16.2413793103448,3.42887931034483,67.655737704918,69.875,65.2068965517241,-4.66810344827586,"GRC","GDP per capita, PPP (constant 2011 international $)",25140.70314,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.23800087,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,"Population ages 15-64 (% of total population)",64.27348306,"Population ages 65 and above (% of total population)",21.65527208,10.1322434507269,"Greece","Hospital beds (per 1,000 people)",4.3,NA,NA,NA,"GRC",0.1529743,"GRC",-0.3600854,-0.15707357,-0.043773349,0.42932299,-0.17281643,-0.35150549,"WESTERN EUROPE                     ",10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,10,"01/07/2011",60,35,57,112,NA,NA,65,"Greece","Greece",-1.032745526,44.5,79,19974.37,2.762990227,0.7853,35.8,16,NA,"Europe",36,-3.294938051,2.300857041,NA,-1.292243114,-0.124387181,-2.460099048,1.669892267,-0.870363968,-0.074654132,-1.666073804,0.757533437,0.187339633,-0.202183795,0.730553983,-0.64463271,-0.066163558,0,1,0,0,0,0,0.042074928,1735,73,1.27244818469361e-05,0.000237087036765706,-11.2719827156545,4.67811832607944e-07,-14.5751996889564
"48","GT","Guatemala","","","2020-04-26",-63,-42,-54,-66,-31,17,-51.2,2020-04-26,"Guatemala","",NA,"None","","No",2020-03-15,2020-03-16,557,16,1,0,NA,14,13,NA,NA,2.769849246,NA,5,23.6229508196721,24.03125,23.1724137931034,-0.858836206896552,85.983606557377,86.21875,85.7241379310345,-0.494612068965523,"GTM","GDP per capita, PPP (constant 2011 international $)",7508.864463,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.459000111,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.1,"Population ages 15-64 (% of total population)",60.7525321,"Population ages 65 and above (% of total population)",4.812072508,8.92383952999691,"Guatemala","Hospital beds (per 1,000 people)",0.6,2017,23.85,70,"GTM",-1.050815,"GTM",-0.25725538,-0.21859027,-0.064931743,-0.48931202,-0.13400403,-0.36296293,"LATIN AMER. & CARIB    ",12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,8,"26/02/2015",95,6,37,101,NA,NA,94,"Guatemala","Guatemala",NA,NA,165,4616.85,NA,0.17311,NA,NA,NA,"North America",21,-3.041730164,1.350916248,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.561568229,NA,NA,NA,0.416843475,0,0,0,0,0,1,0.042857143,70,3,1.3014960290136e-06,4.5308330510036e-05,-13.5519961636009,8.134350181335e-08,-16.3245848858407
"49","GW","Guinea-Bissau","","","2020-04-26",NA,NA,NA,NA,-12,NA,-12,2020-04-26,"Guinea-Bissau","",NA,"None","","No",2020-03-27,2020-04-27,73,1,NA,0,NA,2,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNB","GDP per capita, PPP (constant 2011 international $)",1596.35546,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.46600008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.1,"Population ages 15-64 (% of total population)",54.83713146,"Population ages 65 and above (% of total population)",2.823716336,7.37547847250974,"Guinea-Bissau","Hospital beds (per 1,000 people)",NA,2017,40.89,66,"GNB",-1.234043,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",1442029,36120,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26,6,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea-Bissau","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",9,-0.594479637,0.929933051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6.93467329713896e-07,5.06231150691144e-05,-14.1815617075818,NA,NA
"50","HN","Honduras","","","2020-04-26",-84,-74,-63,-83,-46,20,-70,2020-04-26,"Honduras","",2020-03-20,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Honduras","Yes",2020-03-12,2020-03-27,738,66,0,9,58,17,2,NA,NA,NA,NA,NA,29.4918032786885,29.0625,29.9655172413793,0.90301724137931,78.2786885245902,79.25,77.2068965517241,-2.04310344827586,"HND","GDP per capita, PPP (constant 2011 international $)",4559.736508,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.386000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14,"Population ages 15-64 (% of total population)",63.56850081,"Population ages 65 and above (% of total population)",4.690617659,8.42502011750558,"Honduras","Hospital beds (per 1,000 people)",0.7,2017,36.89,72,"HND",-1.023039,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",7326496,112090,65.4,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,7,"21/02/2012",NA,NA,NA,NA,NA,NA,NA,"Honduras","Honduras",NA,23,88,2548.46,3.432064003,0.629,50,NA,NA,"North America",22,-2.410131034,1.683999593,NA,NA,NA,NA,NA,-0.201290192,0.594419644,-0.997000028,0.040517741,-0.662433052,1.637282342,-0.806409275,NA,0.004378897,0,0,0,0,0,1,0.073825503,298,22,9.00839910374618e-06,0.000100730280887344,-11.6173531820704,0,NA
"51","HR","Croatia","","","2020-04-26",-68,-35,9,-54,-34,7,-36.4,2020-04-26,"Croatia","",2020-03-22,"Partial","https://www.wfmz.com/news/croatia-quake-injures-amid-partial-coronavirus-lockdown/image_45bd4c4f-1ed0-5361-b5ca-d9d228fc5e5f.html","Yes",2020-02-26,2020-03-25,2047,63,0,7,60,32,4,NA,NA,NA,NA,3,10.5245901639344,9.65625,11.4827586206897,1.82650862068965,74.0819672131148,76.1875,71.7586206896552,-4.42887931034483,"HRV","GDP per capita, PPP (constant 2011 international $)",23664.14523,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.934999943,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.3,"Population ages 15-64 (% of total population)",65.04262698,"Population ages 65 and above (% of total population)",20.44543301,10.0717163221021,"Croatia","Hospital beds (per 1,000 people)",5.6,2017,37.82,73,"HRV",0.324786,"HRV",-0.093713462,0.068436384,0.18859911,0.73890787,-0.070946634,0.10511626,"EASTERN EUROPE                     ",4494749,56542,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,NA,9.61,11.48,0.07,0.308,0.622,9,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,"Croatia","Croatia",NA,43,73,14949.76,2.492664975,1.4565,32.3,NA,NA,"Europe",36,-1.950415234,2.235378585,-1.270578868,NA,NA,NA,NA,-1.14068922,-0.344979384,-1.936399056,1.301171897,-0.05768495,-0.655573336,0.623323988,NA,-0.117749828,0,1,0,0,0,0,0.012690355,1182,15,1.40163555295301e-05,0.000455420313792828,-11.1752856581152,0,NA
"52","HT","Haiti","","","2020-04-26",-36,-35,-19,-52,-14,6,-31.2,2020-04-26,"Haiti","",NA,"None","","No",2020-03-20,2020-04-07,76,6,NA,0,NA,9,-9,NA,NA,NA,NA,NA,28.0655737704918,28.5,27.5862068965517,-0.913793103448278,73.7213114754098,73.1875,74.3103448275862,1.12284482758621,"HTI","GDP per capita, PPP (constant 2011 international $)",1656.293904,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.78100014,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",30.3,"Population ages 15-64 (% of total population)",61.80835189,"Population ages 65 and above (% of total population)",4.949403848,7.41233779745867,"Haiti","Hospital beds (per 1,000 people)",0.7,2017,55.6,74,"HTI",-1.028031,"HTI",-0.37565595,0.019328011,-0.69851607,0.23038714,-0.52285433,-0.15751432,"LATIN AMER. & CARIB    ",8308504,27750,299.4,6.38,-3.4,73.45,1600,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52,5,"26/01/2017",NA,NA,NA,NA,NA,NA,NA,"Haiti","Haiti",NA,NA,411,784.08,2.648886654,NA,NA,NA,NA,"North America",16,-2.382138819,0.994267658,NA,NA,NA,NA,NA,-0.984467541,-0.188757705,-1.780177377,0.969176339,-0.748472859,NA,NA,NA,1.018342017,0,0,0,0,0,1,0.047619048,21,1,7.22151665329884e-07,9.14725442751186e-06,-14.1410306573299,NA,NA
"53","HU","Hungary","","","2020-04-26",-52,-26,7,-42,-21,6,-26.8,2020-04-26,"Hungary","",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hungary","Yes",2020-03-05,2020-03-16,2727,300,1,13,54,24,13,8.693467337,4.788877446,2.639143731,7.826266805,5,9.54098360655738,7.78125,11.4827586206897,3.70150862068965,68.5081967213115,71.75,64.9310344827586,-6.81896551724138,"HUN","GDP per capita, PPP (constant 2011 international $)",28464.5602,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.398999929,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,"Population ages 15-64 (% of total population)",66.4302824,"Population ages 65 and above (% of total population)",19.15772538,10.2564150907125,"Hungary","Hospital beds (per 1,000 people)",7,NA,NA,NA,"HUN",0.555392,"HUN",-0.43091628,-0.49845642,-0.065830164,-0.16624628,-0.59088129,0.53216553,"EASTERN EUROPE                     ",9981334,93030,107.3,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,10,"01/07/2011",46,55,88,82,NA,NA,45,"Hungary","Hungary",-1.587321602,42.3,104,17463.28,2.902592433,1.2629,30.9,15,1,"Europe",30,-1.999346984,1.920544268,-0.740183151,-1.84681919,-0.678963257,-3.014675124,3.410741122,-0.730761762,0.064948074,-1.526471598,0.534012753,0.064886591,-0.836929152,0.573283324,-0.67795395,0.113771903,1,1,0,0,0,0,0.04638472,733,34,3.00561027213397e-05,0.000273209973736977,-10.4124448320334,1.00187009071132e-07,-16.1162273066896
"54","ID","Indonesia","","","2020-04-26",-53,-34,-58,-68,-18,18,-46.2,2020-04-26,"Indonesia","",2020-03-15,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia","Yes",2020-03-02,2020-03-12,9511,773,5,14,53,27,17,8.514573397,6.515812432,2.119582245,8.744903293,5,33.5737704918033,33.46875,33.6896551724138,0.220905172413794,80.7049180327869,80.5,80.9310344827586,0.431034482758619,"IDN","GDP per capita, PPP (constant 2011 international $)",11605.85533,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.686999798,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.7,"Population ages 15-64 (% of total population)",67.59163708,"Population ages 65 and above (% of total population)",5.857165613,9.35926501956861,"Indonesia","Hospital beds (per 1,000 people)",1.2,2017,53.15,76,"IDN",-0.3149146,"IDN",-0.36182091,-0.3216432,0.14521286,0.15127298,0.10292665,0.26359722,"ASIA (EX. NEAR EAST)         ",245452739,1919440,127.9,2.85,0,35.6,3200,87.9,52,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,9,"15/08/2017",78,14,46,48,NA,NA,86,"Indonesia","Indonesia",1.527219314,30.2,144,4163.76,3.922269861,0.52292,38.1,5.3,NA,"Asia",27,-5.089854594,2.308420055,-0.578957899,1.267721726,2.435577659,0.099865792,1.607118374,0.288915666,1.084625502,-0.50679417,0.083472262,-0.583663116,0.095757903,-0.291705301,-1.001169979,0.327347404,0,0,0,1,0,0,0.087109547,2273,198,3.14928243681159e-06,3.87488036953623e-05,-12.6683359289142,2.03705202898551e-08,-17.7091770650675
"55","IE","Ireland","","","2020-04-26",-87,-28,-43,-67,-45,18,-54,2020-04-26,"Ireland","",2020-03-12,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland","Yes",2020-03-01,2020-03-12,19877,1159,2,17,50,28,17,NA,NA,NA,NA,NA,7.9344262295082,7.84375,8.03448275862069,0.19073275862069,85.6065573770492,86.8125,84.2758620689655,-2.53663793103448,"IRL","GDP per capita, PPP (constant 2011 international $)",70855.32724,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.927999973,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,"Population ages 15-64 (% of total population)",64.72777871,"Population ages 65 and above (% of total population)",13.8658017,11.1683954326944,"Ireland","Hospital beds (per 1,000 people)",2.8,NA,NA,NA,"IRL",1.464224,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",4062235,70280,57.8,2.06,4.99,5.39,29600,98,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,10,"01/07/2011",28,70,68,35,NA,NA,30,"Ireland","Ireland",-0.136597718,20,70,77771.21,4.718019342,1.9765,31.9,20,NA,"Europe",33,-2.108161687,2.869989742,-1.52688003,-0.396095306,0.771760627,-1.56395124,0.156891492,1.084665147,1.880374983,0.288955311,1.176498481,3.005796511,-0.707389284,-1.020869265,-0.51134775,-0.145133957,0,1,0,0,0,0,0.031637966,4994,158,0.000285310918743007,0.00489311918192818,-8.16193102938353,4.92339808012092e-07,-14.5240966921633
"56","IL","Israel","","","2020-04-26",-57,-6,-24,-45,-48,23,-36,2020-04-26,"Israel","",2020-03-12,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel","Yes",2020-02-22,2020-03-21,15589,208,0,17,50,36,8,NA,NA,NA,NA,4,17.1475409836066,15.46875,19,3.53125,67.2459016393443,68.8125,65.5172413793103,-3.29525862068965,"ISR","GDP per capita, PPP (constant 2011 international $)",33609.02306,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.861000061,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10,"Population ages 15-64 (% of total population)",60.09776752,"Population ages 65 and above (% of total population)",11.97698602,10.4225498533523,"Israel","Hospital beds (per 1,000 people)",3.1,NA,NA,NA,"ISR",0.9939096,"ISR",0.45680538,0.24376138,-0.0099485479,0.19927368,-0.32634467,-0.053660519,"NEAR EAST                          ",6352117,20770,305.8,1.31,0.68,7.03,19800,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657,6,"01/07/2008",13,54,47,81,NA,NA,46,"Israel","Israel",-0.881851201,29.9,417,42823.31,3.748201607,2.0765,41.4,100,NA,"Europe",40,-5.601159603,3.076879748,-0.120031466,-1.141348789,0.026507144,-2.309204723,1.302677059,0.114847412,0.910557248,-0.680862424,0.013189928,1.30156581,0.52323947,-0.3131513,2.154351455,1.027908767,0,1,0,0,0,0,0.00569395,8430,48,3.27449887966484e-05,0.00245414245361035,-10.3267606214336,0,NA
"57","IN","India","","","2020-04-26",-86,-51,-68,-66,-41,22,-62.4,2020-04-26,"India","",2020-03-24,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7","Yes",2020-01-30,2020-03-13,31332,1007,3,5,62,59,16,6.311827957,5.18912081,2.256524507,5.358001265,6,32,29.875,34.3448275862069,4.4698275862069,32.1967213114754,36.9375,26.9655172413793,-9.97198275862069,"IND","GDP per capita, PPP (constant 2011 international $)",6888.188468,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.355000019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",26,"Population ages 15-64 (% of total population)",66.7667425,"Population ages 65 and above (% of total population)",6.179955649,8.83756340752186,"India","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"IND",0.0262165,"IND",-0.10873283,-0.2752474,-0.45382959,0.071198434,-0.26762176,-0.20398138,"ASIA (EX. NEAR EAST)         ",1095351995,3287590,333.2,0.21,-0.07,56.29,2900,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,9,"28/12/2015",77,48,56,40,61,NA,52,"India","India",2.199249145,28.1,420,2171.64,3.992122169,NA,35.7,17,NA,"Asia",65,-12.51535289,2.052240812,1.74514664,1.939751557,3.10760749,0.771895623,3.762636101,0.358767974,1.15447781,-0.436941862,0.128714459,-0.68080864,-0.215137782,-0.441827293,-0.61131147,1.032640768,0,0,0,1,0,0,0.023203802,3577,83,9.19339175531424e-07,2.86045035230889e-05,-13.8996107124612,2.73884560734287e-09,-19.7157293165117
"58","IQ","Iraq","","","2020-04-26",-35,-15,-27,-37,-26,15,-28,2020-04-26,"Iraq","",2020-03-22,"Full","https://www.middleeasteye.net/news/coronavirus-iraq-impose-total-lockdown-until-28-march","Yes",2020-02-25,2020-03-06,1847,88,12,7,60,33,23,7.946218487,4.582697201,2.777964676,7.155955441,6,20.2786885245902,17.21875,23.6551724137931,6.4364224137931,41.8688524590164,43.125,40.4827586206897,-2.64224137931034,"IRQ","GDP per capita, PPP (constant 2011 international $)",15471.24529,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.82199955,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.8,"Population ages 15-64 (% of total population)",58.28983494,"Population ages 65 and above (% of total population)",3.323599663,9.64673843741854,"Iraq","Hospital beds (per 1,000 people)",1.3,NA,NA,NA,"IRQ",-1.759291,"IRQ",-0.41695645,0.16578853,-0.28882602,0.094439171,-0.23216479,0.28961954,"NEAR EAST                          ",26783383,437072,61.3,0.01,0,50.25,1500,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261,6,"01/07/1997",80,38,52,68,NA,NA,62,"Iraq","Iraq",NA,NA,92,5738.45,NA,0.70729,NA,NA,NA,"Asia",38,-4.313243957,1.890434176,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506873522,NA,NA,NA,0.033468798,0,0,0,1,0,0,0.063475546,961,61,3.28561929611356e-06,6.89606686354745e-05,-12.6259554013868,4.48038994924577e-07,-14.618385566077
