Country.Code,Country,Indicator_GDP,GDP_pc,Indicator_unemployment,Unemployment,Indicator.Name.Communicable,Death_disease,Indicator.Name.Population1564,Age_1564,Indicator.Name.65up,Age_65up
AZE,Azerbaijan,"GDP per capita, PPP (constant 2011 international $)",16010.98904,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.508999825,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.8,Population ages 15-64 (% of total population),70.43524739,Population ages 65 and above (% of total population),6.195182751
BDI,Burundi,"GDP per capita, PPP (constant 2011 international $)",660.330341,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.427000046,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.8,Population ages 15-64 (% of total population),52.25137879,Population ages 65 and above (% of total population),2.24694046
BEL,Belgium,"GDP per capita, PPP (constant 2011 international $)",43582.1284,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.589000225,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.9,Population ages 15-64 (% of total population),64.1558335,Population ages 65 and above (% of total population),18.78874374
BEN,Benin,"GDP per capita, PPP (constant 2011 international $)",2151.54317,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.232000113,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.1,Population ages 15-64 (% of total population),54.29871231,Population ages 65 and above (% of total population),3.253605297
BFA,Burkina Faso,"GDP per capita, PPP (constant 2011 international $)",1761.234757,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.263999939,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",56.3,Population ages 15-64 (% of total population),52.64493785,Population ages 65 and above (% of total population),2.406980829
BGD,Bangladesh,"GDP per capita, PPP (constant 2011 international $)",3879.161524,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.190000057,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.6,Population ages 15-64 (% of total population),67.13558688,Population ages 65 and above (% of total population),5.15839064
BGR,Bulgaria,"GDP per capita, PPP (constant 2011 international $)",19320.75123,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.340000153,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.2,Population ages 15-64 (% of total population),64.38262025,Population ages 65 and above (% of total population),21.02191443
BHR,Bahrain,"GDP per capita, PPP (constant 2011 international $)",41973.11293,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.713999987,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.9,Population ages 15-64 (% of total population),78.319356,Population ages 65 and above (% of total population),2.426333878
BHS,"Bahamas, The","GDP per capita, PPP (constant 2011 international $)",28472.20046,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.35999966,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.9,Population ages 15-64 (% of total population),70.25752197,Population ages 65 and above (% of total population),7.257602357
BIH,Bosnia and Herzegovina,"GDP per capita, PPP (constant 2011 international $)",12711.83977,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.42499924,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,Population ages 15-64 (% of total population),68.76346488,Population ages 65 and above (% of total population),16.47031747
BLR,Belarus,"GDP per capita, PPP (constant 2011 international $)",17741.86223,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.59499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.5,Population ages 15-64 (% of total population),68.28890878,Population ages 65 and above (% of total population),14.84514817
BLZ,Belize,"GDP per capita, PPP (constant 2011 international $)",7673.653587,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.413000107,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.4,Population ages 15-64 (% of total population),64.98377585,Population ages 65 and above (% of total population),4.736458777
BMU,Bermuda,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
BOL,Bolivia,"GDP per capita, PPP (constant 2011 international $)",6986.046487,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.497999907,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.4,Population ages 15-64 (% of total population),61.73450486,Population ages 65 and above (% of total population),7.191947392
BRA,Brazil,"GDP per capita, PPP (constant 2011 international $)",14282.71701,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.08300018,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.9,Population ages 15-64 (% of total population),69.74309026,Population ages 65 and above (% of total population),8.922837832
BRB,Barbados,"GDP per capita, PPP (constant 2011 international $)",16463.51743,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.33100033,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13,Population ages 15-64 (% of total population),66.85435789,Population ages 65 and above (% of total population),15.80269396
BRN,Brunei Darussalam,"GDP per capita, PPP (constant 2011 international $)",71802.27172,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.116999626,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.8,Population ages 15-64 (% of total population),72.10039094,Population ages 65 and above (% of total population),4.873147568
BTN,Bhutan,"GDP per capita, PPP (constant 2011 international $)",9207.693968,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.342000008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.9,Population ages 15-64 (% of total population),68.22563455,Population ages 65 and above (% of total population),6.003011713
BWA,Botswana,"GDP per capita, PPP (constant 2011 international $)",16518.23341,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.19300079,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",46,Population ages 15-64 (% of total population),61.66317964,Population ages 65 and above (% of total population),4.223874346
CAF,Central African Republic,"GDP per capita, PPP (constant 2011 international $)",763.0411996,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.680000067,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.7,Population ages 15-64 (% of total population),52.87990574,Population ages 65 and above (% of total population),2.825773707
CAN,Canada,"GDP per capita, PPP (constant 2011 international $)",44078.0656,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.56400013,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.6,Population ages 15-64 (% of total population),66.89774245,Population ages 65 and above (% of total population),17.23200668
CEB,Central Europe and the Baltics,"GDP per capita, PPP (constant 2011 international $)",27832.28672,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.871301706,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.021461373,Population ages 15-64 (% of total population),66.40423937,Population ages 65 and above (% of total population),18.4601185
CHE,Switzerland,"GDP per capita, PPP (constant 2011 international $)",59317.32399,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.580999851,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.3,Population ages 15-64 (% of total population),66.46582867,Population ages 65 and above (% of total population),18.62321656
CHI,Channel Islands,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.486999989,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),67.51417897,Population ages 65 and above (% of total population),17.29746216
CHL,Chile,"GDP per capita, PPP (constant 2011 international $)",22873.80701,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.090000153,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.1,Population ages 15-64 (% of total population),68.71629587,Population ages 65 and above (% of total population),11.52980166
CHN,China,"GDP per capita, PPP (constant 2011 international $)",16181.77772,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.320000172,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.8,Population ages 15-64 (% of total population),71.20211371,Population ages 65 and above (% of total population),10.92088354
CIV,Cote d'Ivoire,"GDP per capita, PPP (constant 2011 international $)",3733.04767,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.316999912,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",52.4,Population ages 15-64 (% of total population),55.20408485,Population ages 65 and above (% of total population),2.858943015
CMR,Cameroon,"GDP per capita, PPP (constant 2011 international $)",3358.590924,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.380000114,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.9,Population ages 15-64 (% of total population),54.6395428,Population ages 65 and above (% of total population),2.728877355
COD,"Congo, Dem. Rep.","GDP per capita, PPP (constant 2011 international $)",827.1382532,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.236000061,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",61.7,Population ages 15-64 (% of total population),50.81651729,Population ages 65 and above (% of total population),3.017840622
COG,"Congo, Rep.","GDP per capita, PPP (constant 2011 international $)",5024.082686,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.472000122,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.5,Population ages 15-64 (% of total population),55.554778,Population ages 65 and above (% of total population),2.681719539
COL,Colombia,"GDP per capita, PPP (constant 2011 international $)",13321.32785,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.706999779,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,Population ages 15-64 (% of total population),68.444057,Population ages 65 and above (% of total population),8.47804702
COM,Comoros,"GDP per capita, PPP (constant 2011 international $)",2585.117414,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.335999966,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.4,Population ages 15-64 (% of total population),57.45456686,Population ages 65 and above (% of total population),3.007009306
CPV,Cabo Verde,"GDP per capita, PPP (constant 2011 international $)",6614.167088,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.2489996,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.5,Population ages 15-64 (% of total population),66.6129059,Population ages 65 and above (% of total population),4.609327157
CRI,Costa Rica,"GDP per capita, PPP (constant 2011 international $)",15679.98056,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.85400009,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.4,Population ages 15-64 (% of total population),69.12540822,Population ages 65 and above (% of total population),9.549847673
CSS,Caribbean small states,"GDP per capita, PPP (constant 2011 international $)",14363.20693,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.010846041,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.62291448,Population ages 15-64 (% of total population),67.490417,Population ages 65 and above (% of total population),8.796658749
CUB,Cuba,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.638000011,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.4,Population ages 15-64 (% of total population),68.60254959,Population ages 65 and above (% of total population),15.18621142
CUW,Curacao,"GDP per capita, PPP (constant 2011 international $)",24617.08176,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),64.43115906,Population ages 65 and above (% of total population),16.68489481
CYM,Cayman Islands,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
CYP,Cyprus,"GDP per capita, PPP (constant 2011 international $)",34569.20987,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.274000168,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.1,Population ages 15-64 (% of total population),69.49309027,Population ages 65 and above (% of total population),13.71906177
CZE,Czech Republic,"GDP per capita, PPP (constant 2011 international $)",33435.50918,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.932999969,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.4,Population ages 15-64 (% of total population),64.99251759,Population ages 65 and above (% of total population),19.42087689
DEU,Germany,"GDP per capita, PPP (constant 2011 international $)",45936.18271,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.042999983,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.8,Population ages 15-64 (% of total population),64.9170079,Population ages 65 and above (% of total population),21.461962
DJI,Djibouti,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.29500008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.2,Population ages 15-64 (% of total population),65.89830466,Population ages 65 and above (% of total population),4.527579378
DMA,Dominica,"GDP per capita, PPP (constant 2011 international $)",9875.788887,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
DNK,Denmark,"GDP per capita, PPP (constant 2011 international $)",48419.43788,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.913000107,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,Population ages 15-64 (% of total population),63.7287848,Population ages 65 and above (% of total population),19.81295264
DOM,Dominican Republic,"GDP per capita, PPP (constant 2011 international $)",15748.38431,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.84499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.8,Population ages 15-64 (% of total population),64.94005302,Population ages 65 and above (% of total population),7.082817476
DZA,Algeria,"GDP per capita, PPP (constant 2011 international $)",13737.35606,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.70400047,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,Population ages 15-64 (% of total population),63.48882487,Population ages 65 and above (% of total population),6.362496545
EAP,East Asia & Pacific (excluding high income),"GDP per capita, PPP (constant 2011 international $)",14297.9255,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.895591892,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.721649429,Population ages 15-64 (% of total population),70.00494974,Population ages 65 and above (% of total population),9.496237874
EAR,Early-demographic dividend,"GDP per capita, PPP (constant 2011 international $)",9232.646316,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.815569434,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",24.93965419,Population ages 15-64 (% of total population),65.28462357,Population ages 65 and above (% of total population),5.817805684
EAS,East Asia & Pacific,"GDP per capita, PPP (constant 2011 international $)",17244.83409,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.830280076,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.031294116,Population ages 15-64 (% of total population),69.48809496,Population ages 65 and above (% of total population),10.744358
ECA,Europe & Central Asia (excluding high income),"GDP per capita, PPP (constant 2011 international $)",19931.94767,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.327300174,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.946082404,Population ages 15-64 (% of total population),66.91393605,Population ages 65 and above (% of total population),12.0469774
ECS,Europe & Central Asia,"GDP per capita, PPP (constant 2011 international $)",30683.8924,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.762462039,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.266375883,Population ages 15-64 (% of total population),65.63605255,Population ages 65 and above (% of total population),16.3488906
ECU,Ecuador,"GDP per capita, PPP (constant 2011 international $)",10412.19927,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.967999935,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.1,Population ages 15-64 (% of total population),64.81411827,Population ages 65 and above (% of total population),7.157289727
EGY,"Egypt, Arab Rep.","GDP per capita, PPP (constant 2011 international $)",11013.73549,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.76000023,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.2,Population ages 15-64 (% of total population),60.97149994,Population ages 65 and above (% of total population),5.229779346
EMU,Euro area,"GDP per capita, PPP (constant 2011 international $)",40037.608,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.495901037,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.422158354,Population ages 15-64 (% of total population),64.3315955,Population ages 65 and above (% of total population),20.60028759
ERI,Eritrea,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.144000053,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",42.9,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
ESP,Spain,"GDP per capita, PPP (constant 2011 international $)",34830.54444,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.95899963,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,Population ages 15-64 (% of total population),65.95449137,Population ages 65 and above (% of total population),19.37850752
EST,Estonia,"GDP per capita, PPP (constant 2011 international $)",31035.39362,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.114999771,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.8,Population ages 15-64 (% of total population),64.01656941,Population ages 65 and above (% of total population),19.62635685
ETH,Ethiopia,"GDP per capita, PPP (constant 2011 international $)",1794.290806,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.08100009,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49,Population ages 15-64 (% of total population),55.7158851,Population ages 65 and above (% of total population),3.501132998
EUU,European Union,"GDP per capita, PPP (constant 2011 international $)",37798.20082,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.666529821,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.111679561,Population ages 15-64 (% of total population),64.68886333,Population ages 65 and above (% of total population),20.16310017
FCS,Fragile and conflict affected situations,"GDP per capita, PPP (constant 2011 international $)",4133.550419,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.249282532,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.36225975,Population ages 15-64 (% of total population),55.64120723,Population ages 65 and above (% of total population),3.382472467
FIN,Finland,"GDP per capita, PPP (constant 2011 international $)",42060.80412,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.59499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.3,Population ages 15-64 (% of total population),62.13402948,Population ages 65 and above (% of total population),21.72078755
FJI,Fiji,"GDP per capita, PPP (constant 2011 international $)",9653.618373,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.100999832,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,Population ages 15-64 (% of total population),65.03769739,Population ages 65 and above (% of total population),5.449680413
FRA,France,"GDP per capita, PPP (constant 2011 international $)",39555.54466,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.427000046,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6,Population ages 15-64 (% of total population),62.00891081,Population ages 65 and above (% of total population),20.03462475
FRO,Faroe Islands,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
FSM,"Micronesia, Fed. Sts.","GDP per capita, PPP (constant 2011 international $)",3152.715404,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",18.5,Population ages 15-64 (% of total population),64.29598722,Population ages 65 and above (% of total population),3.996803977
GAB,Gabon,"GDP per capita, PPP (constant 2011 international $)",15861.58536,"Unemployment, total (% of total labor force) (modeled ILO estimate)",20.00399971,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.9,Population ages 15-64 (% of total population),59.41022284,Population ages 65 and above (% of total population),3.563907468
GBR,United Kingdom,"GDP per capita, PPP (constant 2011 international $)",40522.24661,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.851000071,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.7,Population ages 15-64 (% of total population),63.92605226,Population ages 65 and above (% of total population),18.39586567
GEO,Georgia,"GDP per capita, PPP (constant 2011 international $)",10651.94209,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.39799976,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,Population ages 15-64 (% of total population),65.33926797,Population ages 65 and above (% of total population),14.86549143
GHA,Ghana,"GDP per capita, PPP (constant 2011 international $)",4211.845783,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.330999851,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.5,Population ages 15-64 (% of total population),59.33504041,Population ages 65 and above (% of total population),3.068898007
GIB,Gibraltar,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
GIN,Guinea,"GDP per capita, PPP (constant 2011 international $)",2222.630126,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.296000004,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.7,Population ages 15-64 (% of total population),53.22380421,Population ages 65 and above (% of total population),2.926022448
GMB,"Gambia, The","GDP per capita, PPP (constant 2011 international $)",2317.690217,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.055999756,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.8,Population ages 15-64 (% of total population),53.141274,Population ages 65 and above (% of total population),2.589980939
GNB,Guinea-Bissau,"GDP per capita, PPP (constant 2011 international $)",1596.35546,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.46600008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.1,Population ages 15-64 (% of total population),54.83713146,Population ages 65 and above (% of total population),2.823716336
GNQ,Equatorial Guinea,"GDP per capita, PPP (constant 2011 international $)",20181.13296,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.433000088,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,Population ages 15-64 (% of total population),60.42552379,Population ages 65 and above (% of total population),2.457877347
GRC,Greece,"GDP per capita, PPP (constant 2011 international $)",25140.70314,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.23800087,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,Population ages 15-64 (% of total population),64.27348306,Population ages 65 and above (% of total population),21.65527208
GRD,Grenada,"GDP per capita, PPP (constant 2011 international $)",13804.57741,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,Population ages 15-64 (% of total population),66.81680334,Population ages 65 and above (% of total population),9.621906796
