"","Country","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc"
"11","Australia","AU","Australia","","","2020-04-26",-36,-3,-34,-55,-32,13,-32,2020-04-26,"Queensland",NA,"None","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia","No",2020-01-25,2020-03-01,6738,88,6,0,NA,64,28,9.112033195,7.004163775,2.133242692,7.700908456,6,24.0947176684882,24.7951388888889,23.3218390804598,-1.47329980842912,66.4845173041894,66.7118055555556,66.2337164750958,-0.478089080459768,"AUS","GDP per capita, PPP (constant 2011 international $)",45377.75514,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.268000126,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,"Population ages 15-64 (% of total population)",65.15290773,"Population ages 65 and above (% of total population)",15.65647523,10.7227772890627,"Australia","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"AUS",1.715279,"AUS",0.65700376,0.13713655,0.069660023,0.022189751,0.15533145,0.29897258,"OCEANIA                            ",20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,10,"01/07/2016",36,90,61,51,31,NA,10,4.34265909504314e-06,0.000332509511163644,-12.3470237027623,2.96090392843851e-07
"12","Austria","AT","Austria","","","2020-04-26",-73,-36,23,-50,-34,8,-34,2020-04-26,"",2020-03-16,"Full","https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X","Yes",2020-02-26,2020-03-13,15314,569,4,13,54,32,16,NA,NA,NA,NA,NA,5.95081967213115,4.9375,7.06896551724138,2.13146551724138,82.2295081967213,81.1875,83.3793103448276,2.19181034482759,"AUT","GDP per capita, PPP (constant 2011 international $)",46260.38238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.673999786,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.6,"Population ages 15-64 (% of total population)",66.70048591,"Population ages 65 and above (% of total population)",19.00156646,10.7420412016397,"Austria","Hospital beds (per 1,000 people)",7.6,NA,NA,NA,"AUT",1.875834,"AUT",0.60828501,-0.061829153,0.16104659,-0.055415452,-0.03536313,0.15462811,"WESTERN EUROPE                     ",8192880,83870,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,10,"01/07/2011",11,55,79,70,NA,NA,45,6.94505473044888e-05,0.00186918397437775,-9.57489560824078,4.88228803546494e-07
"13","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-02,"Full","https://en.trend.az/azerbaijan/society/3200643.html","Yes",2020-02-29,2020-03-21,1717,22,0,27,40,29,8,8.036926148,5.907185629,2.144308943,7.362275449,6,12.6229508196721,10.375,15.1034482758621,4.72844827586207,62.1639344262295,58.0625,66.6896551724138,8.62715517241379,"AZE","GDP per capita, PPP (constant 2011 international $)",16010.98904,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.508999825,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.8,"Population ages 15-64 (% of total population)",70.43524739,"Population ages 65 and above (% of total population)",6.195182751,9.68103058047243,"Azerbaijan","Hospital beds (per 1,000 people)",4.7,2017,84.54,11,"AZE",-0.6002176,NA,NA,NA,NA,NA,NA,NA,"C.W. OF IND. STATES ",7961619,86600,91.9,0,-4.9,81.74,3400,97,137.1,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402,-7,"01/07/2009",NA,NA,NA,NA,NA,NA,NA,2.76325707120625e-06,0.000215659654148233,-12.7991004757407,0
"14","Bahamas","BS","The Bahamas","","","2020-04-26",-95,-97,-77,-96,-75,27,-88,2020-04-26,"",2020-03-20,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Bahamas","Yes",2020-03-16,2020-04-02,80,11,NA,9,58,13,-4,NA,NA,NA,NA,NA,23.2786885245902,23.6875,22.8275862068966,-0.859913793103448,76.5901639344262,77.125,76,-1.125,"BHS","GDP per capita, PPP (constant 2011 international $)",28472.20046,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.35999966,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.9,"Population ages 15-64 (% of total population)",70.25752197,"Population ages 65 and above (% of total population)",7.257602357,10.2566834677665,"Bahamas, The","Hospital beds (per 1,000 people)",2.9,NA,NA,NA,"BHS",0.0969947,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",303770,13940,21.8,25.41,-2.2,25.21,16700,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,NA,"01/07/2010",NA,NA,NA,NA,NA,NA,NA,3.62116074661751e-05,0.000263357145208546,-10.2261308422923,NA
"15","Bahrain","BH","Bahrain","","","2020-04-26",-44,-16,-35,-34,-24,19,-30.6,2020-04-26,"",2020-02-25,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain","Yes",2020-02-24,2020-03-17,2811,8,1,33,34,34,12,7.218410042,NA,2.171019377,5.021757322,6,20.3934426229508,18.65625,22.3103448275862,3.65409482758621,63.7377049180328,62.65625,64.9310344827586,2.27478448275862,"BHR","GDP per capita, PPP (constant 2011 international $)",41973.11293,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.713999987,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.9,"Population ages 15-64 (% of total population)",78.319356,"Population ages 65 and above (% of total population)",2.426333878,10.6447845239369,"Bahrain","Hospital beds (per 1,000 people)",2.1,NA,NA,NA,"BHR",0.4127088,NA,NA,NA,NA,NA,NA,NA,"NEAR EAST                          ",698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,-10,NA,NA,NA,NA,NA,NA,NA,NA,1.14517202631033e-05,0.00402384820744791,-11.3773705979301,1.43146503288791e-06
"16","Bangladesh","BD","Bangladesh","","","2020-04-26",-73,-56,-39,-71,-56,25,-59,2020-04-26,"",2020-03-19,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bangladesh","Yes",2020-03-09,2020-03-22,6462,155,0,10,57,20,7,NA,NA,2.157782516,NA,4,30.2950819672131,28.375,32.4137931034483,4.03879310344828,42.6065573770492,40.90625,44.4827586206897,3.57650862068966,"BGD","GDP per capita, PPP (constant 2011 international $)",3879.161524,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.190000057,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.6,"Population ages 15-64 (% of total population)",67.13558688,"Population ages 65 and above (% of total population)",5.15839064,8.26337430720205,"Bangladesh","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"BGD",-0.6402364,"BGD",0.081136711,-0.19806775,0.15436757,0.11328817,0.90646327,-0.17336532,"ASIA (EX. NEAR EAST)         ",147365352,144000,1023.4,0.4,-0.71,62.6,1900,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603,-6,"22/08/2014",NA,NA,NA,NA,NA,NA,NA,1.05180761893067e-06,4.38501989259999e-05,-13.7650003321107,0
"17","Barbados","BB","Barbados","","","2020-04-26",-76,-57,-73,-85,-59,17,-70,2020-04-26,"",2020-03-28,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados","Yes",2020-03-18,2020-04-06,80,6,0,1,66,11,-8,NA,NA,NA,NA,NA,26.9016393442623,26.875,26.9310344827586,0.0560344827586192,74.983606557377,75.6875,74.2068965517241,-1.48060344827586,"BRB","GDP per capita, PPP (constant 2011 international $)",16463.51743,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.33100033,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13,"Population ages 15-64 (% of total population)",66.85435789,"Population ages 65 and above (% of total population)",15.80269396,9.70890214702716,"Barbados","Hospital beds (per 1,000 people)",6.2,NA,NA,NA,"BRB",0.3949094,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",279912,431,649.5,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14353082397325e-05,0.0002858041098631,-10.7504710778109,0
"18","Belarus","BY","Belarus","","","2020-04-26",-24,-2,40,-24,-9,0,-3.8,2020-04-26,"",NA,"None","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belarus","No",2020-02-28,2020-04-03,12208,79,0,0,NA,30,-5,7.480052322,4.613157895,2.233022636,7.40105194,6,4.62295081967213,3.09375,6.31034482758621,3.21659482758621,79.8688524590164,82.78125,76.6551724137931,-6.12607758620689,"BLR","GDP per capita, PPP (constant 2011 international $)",17741.86223,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.59499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.5,"Population ages 15-64 (% of total population)",68.28890878,"Population ages 65 and above (% of total population)",14.84514817,9.78368222386044,"Belarus","Hospital beds (per 1,000 people)",11,2017,83.47,21,"BLR",-0.8329659,NA,NA,NA,NA,NA,NA,NA,"C.W. OF IND. STATES ",10293011,207600,49.6,0,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591,-7,"01/07/2009",NA,NA,NA,NA,NA,NA,NA,7.67511081062674e-06,0.00118604750349533,-11.7775278267286,0
"19","Belgium","BE","Belgium","","","2020-04-26",-70,-33,-3,-54,-36,13,-39.2,2020-04-26,"",2020-03-17,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7","Yes",2020-02-04,2020-03-12,47334,7331,14,12,55,54,17,NA,NA,NA,NA,NA,9.50819672131148,9.125,9.93103448275862,0.806034482758621,78.6393442622951,78.96875,78.2758620689655,-0.692887931034477,"BEL","GDP per capita, PPP (constant 2011 international $)",43582.1284,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.589000225,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.9,"Population ages 15-64 (% of total population)",64.1558335,"Population ages 65 and above (% of total population)",18.78874374,10.682402446223,"Belgium","Hospital beds (per 1,000 people)",6.3,NA,NA,NA,"BEL",1.3679,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",10379067,30528,340,0.22,1.23,4.68,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,8,"01/07/2011",65,75,54,94,NA,NA,25,0.000706325530030782,0.00456052552700546,-7.25543433604552,1.3488688337786e-06
"20","Belize","BZ","Belize","","","2020-04-26",-73,-59,-54,-82,-50,NA,-63.6,2020-04-26,"",2020-03-30,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belize","Yes",2020-03-24,2020-04-06,18,2,NA,-1,68,5,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLZ","GDP per capita, PPP (constant 2011 international $)",7673.653587,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.413000107,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.4,"Population ages 15-64 (% of total population)",64.98377585,"Population ages 65 and above (% of total population)",4.736458777,8.94554812866213,"Belize","Hospital beds (per 1,000 people)",0.9,NA,NA,NA,"BLZ",-0.823954,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",287730,22966,12.5,1.68,0,25.69,4900,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95096097035415e-06,6.25586487331874e-05,-11.8766306388302,NA
"21","Benin","BJ","Benin","","","2020-04-26",-30,-20,-11,-37,-1,12,-19.8,2020-04-26,"",NA,"None","","No",2020-03-17,2020-04-07,64,1,0,0,NA,12,-9,NA,NA,NA,NA,NA,38.9672131147541,37.8125,40.2413793103448,2.42887931034483,25.2459016393443,13.21875,38.5172413793103,25.2984913793103,"BEN","GDP per capita, PPP (constant 2011 international $)",2151.54317,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.232000113,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.1,"Population ages 15-64 (% of total population)",54.29871231,"Population ages 65 and above (% of total population)",3.253605297,7.67394061714823,"Benin","Hospital beds (per 1,000 people)",NA,2017,24.73,14,"BEN",-0.6751704,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",7862944,112620,69.8,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,7,"02/01/2018",NA,NA,NA,NA,NA,NA,NA,1.27178827675741e-07,8.13944497124741e-06,-15.8776716489847,0
"22","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-20,2020-04-07,110,6,NA,0,NA,9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMU","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,NA,"Bermuda","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"BMU",0.8764146,NA,NA,NA,NA,NA,NA,NA,"NORTHERN AMERICA                   ",65773,53,1241,194.34,2.49,8.53,36000,98,851.4,20,0,80,2,11.4,7.74,0.01,0.1,0.89,NA,"01/07/2016",NA,NA,NA,NA,NA,NA,NA,9.12228421996868e-05,0.00167241877366092,-9.30220522952867,NA
