Country Name,Country Code,Indicator Name,2016,2017,2018,2019
Cyprus,CYP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.1,,,
Czech Republic,CZE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.4,,,
Germany,DEU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.8,,,
Djibouti,DJI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.2,,,
Dominica,DMA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Denmark,DNK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,,,
Dominican Republic,DOM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.8,,,
Algeria,DZA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,,,
East Asia & Pacific (excluding high income),EAP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.721649429,,,
Early-demographic dividend,EAR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",24.93965419,,,
East Asia & Pacific,EAS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.031294116,,,
Europe & Central Asia (excluding high income),ECA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.946082404,,,
Europe & Central Asia,ECS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.266375883,,,
Ecuador,ECU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.1,,,
"Egypt, Arab Rep.",EGY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.2,,,
Euro area,EMU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.422158354,,,
Eritrea,ERI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",42.9,,,
Spain,ESP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,,,
Estonia,EST,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.8,,,
Ethiopia,ETH,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49,,,
European Union,EUU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.111679561,,,
Fragile and conflict affected situations,FCS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.36225975,,,
Finland,FIN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.3,,,
Fiji,FJI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,,,
France,FRA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6,,,
Faroe Islands,FRO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
"Micronesia, Fed. Sts.",FSM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",18.5,,,
Gabon,GAB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.9,,,
United Kingdom,GBR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.7,,,
Georgia,GEO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,,,
Ghana,GHA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.5,,,
Gibraltar,GIB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Guinea,GIN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.7,,,
"Gambia, The",GMB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.8,,,
Guinea-Bissau,GNB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.1,,,
Equatorial Guinea,GNQ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,,,
Greece,GRC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,,,
Grenada,GRD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,,,
Greenland,GRL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Guatemala,GTM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.1,,,
Guam,GUM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Guyana,GUY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20,,,
High income,HIC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.691179656,,,
"Hong Kong SAR, China",HKG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Honduras,HND,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14,,,
Heavily indebted poor countries (HIPC),HPC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",52.91210918,,,
Croatia,HRV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.3,,,
Haiti,HTI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",30.3,,,
Hungary,HUN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,,,
IBRD only,IBD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.1724543,,,
IDA & IBRD total,IBT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.98718758,,,
IDA total,IDA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.35983374,,,
IDA blend,IDB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.07895812,,,
Indonesia,IDN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.7,,,
IDA only,IDX,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.80082766,,,
Isle of Man,IMN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
India,IND,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",26,,,
Not classified,INX,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Ireland,IRL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,,,
"Iran, Islamic Rep.",IRN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.9,,,
Iraq,IRQ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.8,,,
Iceland,ISL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.4,,,
Israel,ISR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10,,,
Italy,ITA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.9,,,
Jamaica,JAM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.2,,,
Jordan,JOR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.7,,,
Japan,JPN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.7,,,
Kazakhstan,KAZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.5,,,
Kenya,KEN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.3,,,
Kyrgyz Republic,KGZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.6,,,
Cambodia,KHM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.6,,,
Kiribati,KIR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",28.7,,,
St. Kitts and Nevis,KNA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
"Korea, Rep.",KOR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,,,
Kuwait,KWT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,,,
Latin America & Caribbean (excluding high income),LAC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.85078539,,,
Lao PDR,LAO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",31.4,,,
Lebanon,LBN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,,,
Liberia,LBR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",58.5,,,
Libya,LBY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,,,
St. Lucia,LCA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.7,,,
Latin America & Caribbean,LCN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.626839,,,
Least developed countries: UN classification,LDC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.54998568,,,
Low income,LIC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.11571278,,,
Liechtenstein,LIE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Sri Lanka,LKA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.5,,,
Lower middle income,LMC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",30.25400241,,,
Low & middle income,LMY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",23.11943296,,,
Lesotho,LSO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",59.3,,,
Late-demographic dividend,LTE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.881718851,,,
Lithuania,LTU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,,,
Luxembourg,LUX,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.9,,,
Latvia,LVA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,,,
"Macao SAR, China",MAC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
St. Martin (French part),MAF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Morocco,MAR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14,,,
Monaco,MCO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Moldova,MDA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.2,,,
Madagascar,MDG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",46.2,,,
Maldives,MDV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,,,
Middle East & North Africa,MEA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.05348393,,,
Mexico,MEX,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.8,,,
Marshall Islands,MHL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Middle income,MIC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.4999873,,,
North Macedonia,MKD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.9,,,
Mali,MLI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",60.6,,,
Malta,MLT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.4,,,
Myanmar,MMR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",23.6,,,
Middle East & North Africa (excluding high income),MNA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.24265731,,,
Montenegro,MNE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.4,,,
Mongolia,MNG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.7,,,
Northern Mariana Islands,MNP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Mozambique,MOZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",65.3,,,
Mauritania,MRT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,,,
Mauritius,MUS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,,,
Malawi,MWI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",59.7,,,
Malaysia,MYS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",17.5,,,
North America,NAC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.233510975,,,
Namibia,NAM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.3,,,
New Caledonia,NCL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Niger,NER,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.7,,,
Nigeria,NGA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.7,,,
Nicaragua,NIC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,,,
Netherlands,NLD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,,,
Norway,NOR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.3,,,
Nepal,NPL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25,,,
Nauru,NRU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
New Zealand,NZL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,,,
OECD members,OED,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.683706931,,,
Oman,OMN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.5,,,
Other small states,OSS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",39.52580624,,,
Pakistan,PAK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",34.9,,,
Panama,PAN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.6,,,
Peru,PER,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.3,,,
Philippines,PHL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.2,,,
Palau,PLW,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Papua New Guinea,PNG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.1,,,
Poland,POL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5,,,
Pre-demographic dividend,PRE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",57.06802865,,,
Puerto Rico,PRI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
"Korea, Dem. People’s Rep.",PRK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.5,,,
Portugal,PRT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.2,,,
Paraguay,PRY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.7,,,
West Bank and Gaza,PSE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Pacific island small states,PSS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.10603512,,,
Post-demographic dividend,PST,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.419955548,,,
French Polynesia,PYF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Qatar,QAT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,,,
Romania,ROU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.2,,,
Russian Federation,RUS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.8,,,
Rwanda,RWA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",42.4,,,
South Asia,SAS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",26.95450038,,,
Saudi Arabia,SAU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.6,,,
Sudan,SDN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",35.2,,,
Senegal,SEN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.7,,,
Singapore,SGP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.7,,,
Solomon Islands,SLB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.2,,,
Sierra Leone,SLE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",57.9,,,
El Salvador,SLV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.8,,,
San Marino,SMR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Somalia,SOM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",64.2,,,
Serbia,SRB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.4,,,
Sub-Saharan Africa (excluding high income),SSA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",56.3603958,,,
South Sudan,SSD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,,,
Sub-Saharan Africa,SSF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",56.35656371,,,
Small states,SST,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",33.38211214,,,
Sao Tome and Principe,STP,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",33.9,,,
Suriname,SUR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.3,,,
Slovak Republic,SVK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.8,,,
Slovenia,SVN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5,,,
Sweden,SWE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,,,
Eswatini,SWZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.7,,,
Sint Maarten (Dutch part),SXM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Seychelles,SYC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,,,
Syrian Arab Republic,SYR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,,,
Turks and Caicos Islands,TCA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Chad,TCD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.70993801,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.921673061,,,
Togo,TGO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",51.7,,,
Thailand,THA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.8,,,
Tajikistan,TJK,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",23.2,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",17.2,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.7638995,,,
Timor-Leste,TLS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.6,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.24265731,,,
Tonga,TON,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.7,,,
South Asia (IDA & IBRD),TSA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",26.95450038,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",56.35656371,,,
Trinidad and Tobago,TTO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9,,,
Tunisia,TUN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.8,,,
Turkey,TUR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.4,,,
Tuvalu,TUV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Tanzania,TZA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.8,,,
Uganda,UGA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.5,,,
Ukraine,UKR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.1,,,
Upper middle income,UMC,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.495997628,,,
Uruguay,URY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.6,,,
United States,USA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,,,
Uzbekistan,UZB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.3,,,
St. Vincent and the Grenadines,VCT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.4,,,
"Venezuela, RB",VEN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.3,,,
